league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
E1,Birmingham,2025-08-08,H,Ipswich,1,1,D,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
E1,Birmingham,2025-08-16,A,Blackburn,2,1,W,3,2,2.0,1.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0
E1,Birmingham,2025-08-23,H,Oxford,1,0,W,3,3,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333
E1,Birmingham,2025-08-29,A,Leicester,0,2,L,0,4,1.75,1.0,1.0,0.0,0.25,0.75,0.5,0.75,0.25
E1,Birmingham,2025-09-13,A,Stoke,0,1,L,0,5,1.4,0.8,1.0,-0.2,0.2,0.8,0.4,0.6,0.2
E1,Birmingham,2025-09-20,H,Swansea,1,0,W,3,6,1.8,0.8,0.8,0.0,0.2,0.8,0.2,0.6,0.4
E1,Birmingham,2025-09-27,A,Coventry,0,3,L,0,7,1.2,0.4,1.2,-0.8,0.2,0.8,0.0,0.4,0.4
E1,Birmingham,2025-09-30,H,Sheffield Weds,2,2,D,1,8,0.8,0.6,1.6,-1.0,0.4,0.6,0.2,0.4,0.2
E1,Birmingham,2025-10-03,A,Wrexham,1,1,D,1,9,1.0,0.8,1.4,-0.6,0.4,0.6,0.4,0.6,0.2
E1,Birmingham,2025-10-18,H,Hull,2,3,L,0,10,1.0,1.2,1.8,-0.6,0.6,0.4,0.6,0.8,0.2
E1,Birmingham,2025-10-21,A,Preston,1,0,W,3,11,1.0,1.2,1.8,-0.6,0.6,0.4,0.6,0.8,0.2
E1,Birmingham,2025-10-25,A,Bristol City,0,1,L,0,12,1.0,1.2,1.4,-0.2,0.4,0.6,0.6,0.8,0.2
E1,Birmingham,2025-11-01,H,Portsmouth,4,0,W,3,13,1.4,1.6,1.0,0.6,0.4,0.6,0.4,0.8,0.4
E1,Birmingham,2025-11-04,H,Millwall,4,0,W,3,14,1.8,2.2,0.8,1.4,0.6,0.4,0.2,0.8,0.6
E1,Birmingham,2025-11-08,A,Middlesbrough,1,2,L,0,15,1.8,2.0,0.6,1.4,0.6,0.4,0.2,0.8,0.6
E1,Birmingham,2025-11-22,H,Norwich,4,1,W,3,16,1.8,2.6,0.8,1.8,0.8,0.2,0.4,0.8,0.4
E1,Birmingham,2025-11-26,A,West Brom,1,1,D,1,17,2.0,2.8,0.8,2.0,0.8,0.2,0.6,1.0,0.4
E1,Birmingham,2025-12-01,H,Watford,2,1,W,3,18,2.0,2.4,1.0,1.4,0.8,0.2,0.8,1.0,0.2
E1,Birmingham,2025-12-06,A,Southampton,1,3,L,0,19,1.4,1.8,1.6,0.2,0.8,0.2,1.0,1.0,0.0
E1,Birmingham,2025-12-09,A,QPR,1,2,L,0,20,1.4,1.8,1.6,0.2,0.8,0.2,1.0,1.0,0.0
E1,Birmingham,2025-12-13,H,Charlton,1,1,D,1,21,1.0,1.2,1.6,-0.4,0.6,0.4,1.0,1.0,0.0
E1,Birmingham,2025-12-20,A,Sheffield United,0,3,L,0,22,0.8,1.0,2.0,-1.0,0.8,0.2,0.8,0.8,0.0
E1,Birmingham,2025-12-26,H,Derby,1,1,D,1,23,0.4,0.8,2.0,-1.2,0.6,0.4,0.8,0.8,0.0
E1,Birmingham,2025-12-29,H,Southampton,1,1,D,1,24,0.6,0.8,1.6,-0.8,0.4,0.6,0.8,0.8,0.0
E1,Birmingham,2026-01-01,A,Watford,0,3,L,0,25,0.6,0.6,1.8,-1.2,0.4,0.6,0.6,0.6,0.0
E1,Birmingham,2026-01-04,H,Coventry,3,2,W,3,26,1.0,1.0,2.0,-1.0,0.6,0.4,0.6,0.6,0.0
E1,Birmingham,2026-01-17,A,Swansea,1,1,D,1,27,1.2,1.2,1.6,-0.4,0.4,0.6,0.8,0.8,0.0
