league,team,scope,market,jogos,n_eventos,hit_rate,hit_std,wilson_lo,wilson_hi,edge_vs_liga,roi_unid_por_aposta,odds_avg,prob_impl,value_estimado,form_recent_5,alerta_tendencia_inversa
F1,Angers,Fora,Vitória (1X2),14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.17017643710870803,-0.08714285714285719,7.602142857142857,0.13154185849854366,0.6290306122448976,0.2,False
F1,Angers,Fora,Over 2.5 golos,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.2242458736482641,-0.48285714285714293,1.8550000000000002,0.5390835579514824,-0.47,0.2,False
F1,Angers,Fora,Under 2.5 golos,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.2242458736482641,0.4564285714285714,2.039285714285714,0.49036777583187396,0.45663265306122436,0.8,False
F1,Angers,Fora,Handicap Asiático (AH),14,,,,,,,0.15964285714285711,1.8892857142857145,0.5293005671077504,,,False
F1,Angers,Fora,Casa marca (>=1),14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,-0.20318725099601598,,,,,0.4,False
F1,Angers,Fora,Clean sheet,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.01109846328969838,,,,,0.4,False
F1,Angers,Fora,Ambas marcam (BTTS),14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.2003414911781446,,,,,0.2,False
F1,Angers,Fora,Over 1.5 golos,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,-0.20119521912350602,,,,,0.6,False
F1,Angers,Fora,Over 3.5 golos,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.10842344906089926,,,,,0.2,False
F1,Angers,Fora,Cantos total Over 8.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.1371656232214002,,,,,0.2,True
F1,Angers,Fora,Cantos total Over 9.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.021627774615822437,,,,,0.2,True
F1,Angers,Fora,Cantos total Over 10.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,0.02646556630620378,,,,,0.0,True
F1,Angers,Fora,Cantos equipa Over 4.5,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.24786568013659646,,,,,0.0,True
F1,Angers,Fora,Cantos equipa Over 5.5,14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.255264655663062,,,,,0.0,False
F1,Angers,Fora,Equipa ganha cantos,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.2359134889015367,,,,,0.2,False
F1,Angers,Casa,Vitória (1X2),14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.044109277177006245,0.10142857142857142,3.4757142857142855,0.2877106452938759,0.48959183673469364,0.4,False
F1,Angers,Casa,Over 2.5 golos,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.2956744450768355,-0.5785714285714286,2.0428571428571427,0.48951048951048953,-0.5622448979591836,0.0,True
F1,Angers,Casa,Under 2.5 golos,14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.2956744450768355,0.3628571428571429,1.7507142857142857,0.5711954304365565,0.3755612244897959,1.0,False
F1,Angers,Casa,Handicap Asiático (AH),14,,,,,,,0.19142857142857145,1.840714285714286,0.5432673651532789,,,False
F1,Angers,Casa,Casa marca (>=1),14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.011098463289698324,,,,,0.4,True
F1,Angers,Casa,Clean sheet,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.13175867956744447,,,,,0.6,False
F1,Angers,Casa,Ambas marcam (BTTS),14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.12891291974957314,,,,,0.0,True
F1,Angers,Casa,Over 1.5 golos,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,-0.058338076266363115,,,,,0.2,True
F1,Angers,Casa,Over 3.5 golos,14,14.0,0.14285714285714285,0.3499271061118826,0.04009307373792117,0.399419077638637,-0.1798520204894707,,,,,0.0,False
F1,Angers,Casa,Cantos total Over 8.5,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,-0.06573705179282874,,,,,0.4,False
F1,Angers,Casa,Cantos total Over 9.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.021627774615822437,,,,,0.4,False
F1,Angers,Casa,Cantos total Over 10.5,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.1163915765509391,,,,,0.2,False
F1,Angers,Casa,Cantos equipa Over 4.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.10500853727945358,,,,,0.2,True
F1,Angers,Casa,Cantos equipa Over 5.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,0.030449630051223697,,,,,0.2,True
F1,Angers,Casa,Equipa ganha cantos,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.021627774615822437,,,,,0.4,False
F1,Auxerre,Fora,Vitória (1X2),14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.3130335799658509,-0.8064285714285714,5.134285714285715,0.19476905954368387,-0.6332653061224489,0.2,False
F1,Auxerre,Fora,Over 2.5 golos,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.15281730221969264,-0.3121428571428572,1.9085714285714286,0.5239520958083832,-0.31836734693877544,0.4,False
F1,Auxerre,Fora,Under 2.5 golos,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.1528173022196927,0.29,1.952142857142857,0.5122575923893158,0.2549489795918367,0.6,False
F1,Auxerre,Fora,Handicap Asiático (AH),14,,,,,,,0.027142857142857153,1.874285714285714,0.5335365853658537,,,False
F1,Auxerre,Fora,Casa marca (>=1),14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.27461582242458743,,,,,0.6,False
F1,Auxerre,Fora,Clean sheet,14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.22538417757541265,,,,,0.2,False
F1,Auxerre,Fora,Ambas marcam (BTTS),14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,-0.057484348321001744,,,,,0.6,False
