league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
F1,Angers,2025-08-17,H,Paris FC,1,0,W,3,1,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
F1,Angers,2025-08-22,A,Paris SG,0,1,L,0,2,1.5,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5
F1,Angers,2025-08-31,H,Rennes,1,1,D,1,3,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
F1,Angers,2025-09-14,A,Metz,1,1,D,1,4,1.25,0.75,0.75,0.0,0.0,1.0,0.5,0.75,0.25
F1,Angers,2025-09-19,A,Lyon,0,1,L,0,5,1.0,0.6,0.8,-0.2,0.0,1.0,0.4,0.6,0.2
F1,Angers,2025-09-28,H,Brest,0,2,L,0,6,0.4,0.4,1.2,-0.8,0.0,1.0,0.4,0.4,0.0
F1,Angers,2025-10-05,A,Strasbourg,0,5,L,0,7,0.4,0.4,2.0,-1.6,0.2,0.8,0.4,0.4,0.0
F1,Angers,2025-10-18,H,Monaco,1,1,D,1,8,0.4,0.4,2.0,-1.6,0.2,0.8,0.4,0.4,0.0
F1,Angers,2025-10-26,H,Lorient,2,0,W,3,9,0.8,0.6,1.8,-1.2,0.2,0.8,0.2,0.4,0.2
F1,Angers,2025-10-29,A,Marseille,2,2,D,1,10,1.0,1.0,2.0,-1.0,0.4,0.6,0.4,0.6,0.2
F1,Angers,2025-11-02,A,Lille,0,1,L,0,11,1.0,1.0,1.8,-0.8,0.4,0.6,0.4,0.6,0.2
F1,Angers,2025-11-09,H,Auxerre,2,0,W,3,12,1.6,1.4,0.8,0.6,0.2,0.8,0.4,0.8,0.4
F1,Angers,2025-11-23,A,Toulouse,1,0,W,3,13,2.0,1.4,0.6,0.8,0.2,0.8,0.2,0.8,0.6
F1,Angers,2025-11-30,H,Lens,1,2,L,0,14,1.4,1.2,1.0,0.2,0.4,0.6,0.4,0.8,0.4
F1,Angers,2025-12-07,A,Nice,1,0,W,3,15,1.8,1.0,0.6,0.4,0.2,0.8,0.2,0.8,0.6
F1,Angers,2025-12-12,H,Nantes,4,1,W,3,16,2.4,1.8,0.6,1.2,0.4,0.6,0.4,1.0,0.6
F1,Angers,2026-01-04,A,Le Havre,1,2,L,0,17,1.8,1.6,1.0,0.6,0.6,0.4,0.6,1.0,0.4
F1,Angers,2026-01-17,H,Marseille,2,5,L,0,18,1.2,1.8,2.0,-0.2,0.8,0.2,0.8,1.0,0.2
F1,Angers,2026-01-25,A,Paris FC,0,0,D,1,19,1.4,1.6,1.6,0.0,0.6,0.4,0.6,0.8,0.4
F1,Angers,2026-02-01,H,Metz,1,0,W,3,20,1.4,1.6,1.6,0.0,0.6,0.4,0.6,0.8,0.4
F1,Angers,2026-02-08,H,Toulouse,1,0,W,3,21,1.4,1.0,1.4,-0.4,0.4,0.6,0.4,0.8,0.6
F1,Angers,2026-02-15,A,Lorient,0,2,L,0,22,1.4,0.8,1.4,-0.6,0.2,0.8,0.2,0.6,0.6
F1,Angers,2026-02-22,H,Lille,0,1,L,0,23,1.4,0.4,0.6,-0.2,0.0,1.0,0.0,0.4,0.6
F1,Angers,2026-02-28,A,Monaco,0,2,L,0,24,1.2,0.4,1.0,-0.6,0.0,1.0,0.0,0.4,0.4
F1,Angers,2026-03-07,A,Nantes,1,0,W,3,25,1.2,0.4,1.0,-0.6,0.0,1.0,0.0,0.4,0.4
F1,Angers,2026-03-14,H,Nice,0,2,L,0,26,0.6,0.2,1.4,-1.2,0.0,1.0,0.0,0.2,0.2
F1,Angers,2026-03-20,A,Lens,1,5,L,0,27,0.6,0.4,2.0,-1.6,0.2,0.8,0.2,0.4,0.2
F1,Angers,2026-04-05,H,Lyon,0,0,D,1,28,0.8,0.4,1.8,-1.4,0.2,0.8,0.2,0.4,0.4
F1,Auxerre,2025-08-17,H,Lorient,1,0,W,3,1,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
F1,Auxerre,2025-08-23,A,Nice,1,3,L,0,2,1.5,1.0,1.5,-0.5,0.5,0.5,0.5,1.0,0.5
F1,Auxerre,2025-08-30,A,Nantes,0,1,L,0,3,1.0,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
F1,Auxerre,2025-09-13,H,Monaco,1,2,L,0,4,0.75,0.75,1.5,-0.75,0.5,0.5,0.5,0.75,0.25
F1,Auxerre,2025-09-21,H,Toulouse,1,0,W,3,5,1.2,0.8,1.2,-0.4,0.4,0.6,0.4,0.8,0.4
F1,Auxerre,2025-09-27,A,Paris SG,0,2,L,0,6,0.6,0.6,1.6,-1.0,0.4,0.6,0.4,0.6,0.2
F1,Auxerre,2025-10-04,H,Lens,1,2,L,0,7,0.6,0.6,1.4,-0.8,0.4,0.6,0.4,0.6,0.2
F1,Auxerre,2025-10-19,A,Rennes,2,2,D,1,8,0.8,1.0,1.6,-0.6,0.6,0.4,0.6,0.8,0.2
F1,Auxerre,2025-10-26,H,Le Havre,0,1,L,0,9,0.8,0.8,1.4,-0.6,0.4,0.6,0.4,0.6,0.2
F1,Auxerre,2025-10-29,A,Strasbourg,0,3,L,0,10,0.2,0.6,2.0,-1.4,0.6,0.4,0.4,0.4,0.0
F1,Auxerre,2025-11-01,H,Marseille,0,1,L,0,11,0.2,0.6,1.8,-1.2,0.6,0.4,0.4,0.4,0.0
F1,Auxerre,2025-11-09,A,Angers,0,2,L,0,12,0.2,0.4,1.8,-1.4,0.4,0.6,0.2,0.2,0.0
F1,Auxerre,2025-11-23,H,Lyon,0,0,D,1,13,0.2,0.0,1.4,-1.4,0.2,0.8,0.0,0.0,0.2
F1,Auxerre,2025-11-29,A,Paris FC,1,1,D,1,14,0.4,0.2,1.4,-1.2,0.2,0.8,0.2,0.2,0.2
F1,Auxerre,2025-12-07,H,Metz,3,1,W,3,15,1.0,0.8,1.0,-0.2,0.2,0.8,0.4,0.4,0.2
F1,Auxerre,2025-12-14,H,Lille,3,4,L,0,16,1.0,1.4,1.6,-0.2,0.4,0.6,0.6,0.6,0.2
F1,Auxerre,2026-01-04,A,Brest,0,2,L,0,17,1.0,1.4,1.6,-0.2,0.4,0.6,0.6,0.6,0.2
F1,Auxerre,2026-01-17,A,Lens,0,1,L,0,18,0.8,1.4,1.8,-0.4,0.4,0.6,0.6,0.6,0.0
F1,Auxerre,2026-01-23,H,Paris SG,0,1,L,0,19,0.6,1.2,1.8,-0.6,0.4,0.6,0.4,0.4,0.0
F1,Auxerre,2026-02-01,A,Toulouse,0,0,D,1,20,0.2,0.6,1.6,-1.0,0.2,0.8,0.2,0.2,0.2
F1,Auxerre,2026-02-08,H,Paris FC,0,0,D,1,21,0.4,0.0,0.8,-0.8,0.0,1.0,0.0,0.0,0.4
F1,Auxerre,2026-02-15,A,Metz,3,1,W,3,22,1.0,0.6,0.6,0.0,0.2,0.8,0.2,0.2,0.4
F1,Auxerre,2026-02-22,H,Rennes,0,3,L,0,23,1.0,0.6,1.0,-0.4,0.4,0.6,0.2,0.2,0.4
