league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
I1,Atalanta,2025-08-24,H,Pisa,1,1,D,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
I1,Atalanta,2025-08-30,A,Parma,1,1,D,1,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
I1,Atalanta,2025-09-14,H,Lecce,4,1,W,3,3,1.6666666666666667,2.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0
I1,Atalanta,2025-09-21,A,Torino,3,0,W,3,4,2.0,2.25,0.75,1.5,0.5,0.5,0.75,1.0,0.25
I1,Atalanta,2025-09-27,A,Juventus,1,1,D,1,5,1.8,2.0,0.8,1.2,0.4,0.6,0.8,1.0,0.2
I1,Atalanta,2025-10-04,H,Como,1,1,D,1,6,1.8,2.0,0.8,1.2,0.4,0.6,0.8,1.0,0.2
I1,Atalanta,2025-10-19,H,Lazio,0,0,D,1,7,1.8,1.8,0.6,1.2,0.4,0.6,0.6,0.8,0.4
I1,Atalanta,2025-10-25,A,Cremonese,1,1,D,1,8,1.4,1.2,0.6,0.6,0.2,0.8,0.6,0.8,0.4
I1,Atalanta,2025-10-28,H,Milan,1,1,D,1,9,1.0,0.8,0.8,0.0,0.0,1.0,0.8,0.8,0.2
I1,Atalanta,2025-11-01,A,Udinese,0,1,L,0,10,0.8,0.6,0.8,-0.2,0.0,1.0,0.6,0.6,0.2
I1,Atalanta,2025-11-09,H,Sassuolo,0,3,L,0,11,0.6,0.4,1.2,-0.8,0.2,0.8,0.4,0.4,0.2
I1,Atalanta,2025-11-22,A,Napoli,1,3,L,0,12,0.4,0.6,1.8,-1.2,0.4,0.6,0.6,0.6,0.0
I1,Atalanta,2025-11-30,H,Fiorentina,2,0,W,3,13,0.8,0.8,1.6,-0.8,0.4,0.6,0.4,0.6,0.2
I1,Atalanta,2025-12-06,A,Verona,1,3,L,0,14,0.6,0.8,2.0,-1.2,0.6,0.4,0.4,0.6,0.2
I1,Atalanta,2025-12-13,H,Cagliari,2,1,W,3,15,1.2,1.2,2.0,-0.8,0.8,0.2,0.6,0.8,0.2
I1,Atalanta,2025-12-21,A,Genoa,1,0,W,3,16,1.8,1.4,1.4,0.0,0.6,0.4,0.6,1.0,0.4
I1,Atalanta,2025-12-28,H,Inter,0,1,L,0,17,1.8,1.2,1.0,0.2,0.4,0.6,0.4,0.8,0.4
I1,Atalanta,2026-01-03,H,Roma,1,0,W,3,18,1.8,1.0,1.0,0.0,0.4,0.6,0.4,0.8,0.4
I1,Atalanta,2026-01-07,A,Bologna,2,0,W,3,19,2.4,1.2,0.4,0.8,0.2,0.8,0.2,0.8,0.6
I1,Atalanta,2026-01-10,H,Torino,2,0,W,3,20,2.4,1.2,0.2,1.0,0.0,1.0,0.0,0.8,0.8
I1,Atalanta,2026-01-16,A,Pisa,1,1,D,1,21,2.0,1.2,0.4,0.8,0.0,1.0,0.2,0.8,0.6
I1,Atalanta,2026-01-25,H,Parma,4,0,W,3,22,2.6,2.0,0.2,1.8,0.2,0.8,0.2,1.0,0.8
I1,Atalanta,2026-02-01,A,Como,0,0,D,1,23,2.2,1.8,0.2,1.6,0.2,0.8,0.2,0.8,0.8
I1,Atalanta,2026-02-09,H,Cremonese,2,1,W,3,24,2.2,1.8,0.4,1.4,0.4,0.6,0.4,0.8,0.6
I1,Atalanta,2026-02-14,A,Lazio,2,0,W,3,25,2.2,1.8,0.4,1.4,0.4,0.6,0.4,0.8,0.6
I1,Atalanta,2026-02-22,H,Napoli,2,1,W,3,26,2.6,2.0,0.4,1.6,0.6,0.4,0.4,0.8,0.6
I1,Atalanta,2026-03-01,A,Sassuolo,1,2,L,0,27,2.0,1.4,0.8,0.6,0.6,0.4,0.6,0.8,0.4
