league,team,scope,market,jogos,n_eventos,hit_rate,hit_std,wilson_lo,wilson_hi,edge_vs_liga,roi_unid_por_aposta,odds_avg,prob_impl,value_estimado,form_recent_5,alerta_tendencia_inversa
N1,AZ Alkmaar,Fora,Vitória (1X2),15,15.0,0.4,0.4898979485566356,0.19824228082594664,0.6425355724349229,0.026436781609195437,-0.206,2.469333333333333,0.4049676025917927,-0.012266666666666759,0.4,False
N1,AZ Alkmaar,Fora,Over 2.5 golos,15,15.0,0.6,0.4898979485566356,0.357464427565077,0.8017577191740534,-0.020689655172413834,-0.09933333333333332,1.5266666666666668,0.6550218340611353,-0.08399999999999996,0.6,False
N1,AZ Alkmaar,Fora,Under 2.5 golos,15,15.0,0.4,0.4898979485566356,0.19824228082594664,0.6425355724349229,0.020689655172413834,-0.08133333333333334,2.4153333333333333,0.41402152911951423,-0.0338666666666666,0.4,False
N1,AZ Alkmaar,Fora,Handicap Asiático (AH),15,,,,,,,-0.296,2.0166666666666666,0.49586776859504134,,,False
N1,AZ Alkmaar,Fora,Casa marca (>=1),15,15.0,0.8,0.39999999999999997,0.5481406466534955,0.9295257935638959,-0.0007662835249041544,,,,,0.6,True
N1,AZ Alkmaar,Fora,Clean sheet,15,15.0,0.26666666666666666,0.4422166387140533,0.10897276103182815,0.5195088965768675,0.06743295019157089,,,,,0.2,False
N1,AZ Alkmaar,Fora,Ambas marcam (BTTS),15,15.0,0.5333333333333333,0.49888765156985887,0.3011663015105079,0.7519077474025356,-0.09501915708812259,,,,,0.4,False
N1,AZ Alkmaar,Fora,Over 1.5 golos,15,15.0,0.7333333333333333,0.44221663871405337,0.48049110342313245,0.8910272389681717,-0.12490421455938705,,,,,0.8,False
N1,AZ Alkmaar,Fora,Over 3.5 golos,15,15.0,0.26666666666666666,0.4422166387140533,0.10897276103182815,0.5195088965768675,-0.11647509578544063,,,,,0.0,True
N1,AZ Alkmaar,Fora,Cantos total Over 8.5,15,15.0,0.7333333333333333,0.44221663871405337,0.48049110342313245,0.8910272389681717,0.013026819923371624,,,,,0.8,False
N1,AZ Alkmaar,Fora,Cantos total Over 9.5,15,15.0,0.4666666666666667,0.49888765156985887,0.24809225259746442,0.6988336984894922,-0.096551724137931,,,,,0.4,False
N1,AZ Alkmaar,Fora,Cantos total Over 10.5,15,15.0,0.4,0.4898979485566356,0.19824228082594664,0.6425355724349229,-0.0482758620689655,,,,,0.4,False
N1,AZ Alkmaar,Fora,Cantos equipa Over 4.5,15,15.0,0.6,0.4898979485566356,0.357464427565077,0.8017577191740534,0.05977011494252871,,,,,0.6,False
N1,AZ Alkmaar,Fora,Cantos equipa Over 5.5,15,15.0,0.4666666666666667,0.49888765156985887,0.24809225259746442,0.6988336984894922,0.05862068965517242,,,,,0.4,False
N1,AZ Alkmaar,Fora,Equipa ganha cantos,15,15.0,0.6,0.4898979485566356,0.357464427565077,0.8017577191740534,0.13639846743295014,,,,,0.4,True
N1,AZ Alkmaar,Casa,Vitória (1X2),14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.12643678160919541,-0.2685714285714285,1.6807142857142856,0.5949851253718658,-0.1596428571428572,0.6,False
N1,AZ Alkmaar,Casa,Over 2.5 golos,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.09359605911330049,0.07214285714285713,1.4707142857142859,0.6799417192812044,0.05051020408163276,0.6,False
N1,AZ Alkmaar,Casa,Under 2.5 golos,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.09359605911330049,-0.18285714285714297,2.6021428571428573,0.3842986549547076,-0.2565306122448979,0.4,False
N1,AZ Alkmaar,Casa,Handicap Asiático (AH),14,,,,,,,-0.23142857142857137,1.8650000000000002,0.5361930294906165,,,False
N1,AZ Alkmaar,Casa,Casa marca (>=1),14,14.0,1.0,0.0,0.7846829880728186,1.0,0.1992337164750958,,,,,1.0,False
N1,AZ Alkmaar,Casa,Clean sheet,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,0.0150519978106185,,,,,0.4,False
N1,AZ Alkmaar,Casa,Ambas marcam (BTTS),14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.1573617952928298,,,,,0.6,True
N1,AZ Alkmaar,Casa,Over 1.5 golos,14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.07033388067870827,,,,,1.0,False
N1,AZ Alkmaar,Casa,Over 3.5 golos,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.2597153804050356,,,,,0.6,False
N1,AZ Alkmaar,Casa,Cantos total Over 8.5,14,14.0,0.7857142857142857,0.4103259033241449,0.5241027622679172,0.9242875166308363,0.06540777230432404,,,,,0.6,True
N1,AZ Alkmaar,Casa,Cantos total Over 9.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.008210180623973717,,,,,0.4,True
N1,AZ Alkmaar,Casa,Cantos total Over 10.5,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.23399014778325125,,,,,0.2,False
N1,AZ Alkmaar,Casa,Cantos equipa Over 4.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.031198686371100126,,,,,0.4,True
N1,AZ Alkmaar,Casa,Cantos equipa Over 5.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.16338259441707714,,,,,0.4,True
N1,AZ Alkmaar,Casa,Equipa ganha cantos,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,0.10782703886152156,,,,,0.4,True
N1,Ajax,Fora,Vitória (1X2),14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.1592775041050903,-0.5385714285714286,2.3364285714285713,0.42800366860287375,-0.4993367346938776,0.0,True
N1,Ajax,Fora,Over 2.5 golos,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.09359605911330049,0.09428571428571428,1.5178571428571428,0.6588235294117647,0.08418367346938771,0.4,True
N1,Ajax,Fora,Under 2.5 golos,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.09359605911330049,-0.28071428571428575,2.424285714285714,0.4124926340601061,-0.30734693877551034,0.6,False
N1,Ajax,Fora,Handicap Asiático (AH),14,,,,,,,-0.16142857142857142,1.8450000000000002,0.5420054200542005,,,False
N1,Ajax,Fora,Casa marca (>=1),14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.1278051450465244,,,,,0.8,False
N1,Ajax,Fora,Clean sheet,14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.12780514504652435,,,,,0.2,False
N1,Ajax,Fora,Ambas marcam (BTTS),14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.3002189381499727,,,,,0.8,False
N1,Ajax,Fora,Over 1.5 golos,14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.07033388067870827,,,,,0.8,False
N1,Ajax,Fora,Over 3.5 golos,14,14.0,0.6428571428571429,0.4791574237499549,0.3876400468214041,0.8365550926279727,0.2597153804050356,,,,,0.4,True
N1,Ajax,Fora,Cantos total Over 8.5,14,14.0,0.5714285714285714,0.4948716593053935,0.3259026690286936,0.7861949006959947,-0.14887794198139026,,,,,0.4,True
N1,Ajax,Fora,Cantos total Over 9.5,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,-0.06321839080459768,,,,,0.4,False
N1,Ajax,Fora,Cantos total Over 10.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.09113300492610837,,,,,0.4,False
