league,team,jogos,ppg,vit%,emp%,der%,golos_marcados,golos_sofridos,diff_golos,marca%,CS%,BTTS%,O2.5%,U2.5%,remates,remates_sofridos,SOT,SOT_sofridos,cantos,cantos_sofridos,amarelos,amarelos_sofridos,gf_sum,ga_sum,shots_sum,shots_against_sum,sot_sum,conversion_rate,sot_pct,xg_impl,xg_overperf,defensive_solidity,scope
N1,PSV Eindhoven,29,2.4482758620689653,0.7931034482758621,0.06896551724137931,0.13793103448275862,2.8275862068965516,1.3793103448275863,1.4482758620689655,0.9655172413793104,0.20689655172413793,0.7586206896551724,0.8620689655172413,0.13793103448275862,17.862068965517242,11.793103448275861,7.310344827586207,4.0344827586206895,7.413793103448276,4.172413793103448,1.3448275862068966,1.6551724137931034,82,40,518,342,212,0.1583011583011583,0.4092664092664093,2.4124137931034486,0.415172413793103,0.11695906432748537,Total
N1,Feyenoord,29,1.8620689655172413,0.5517241379310345,0.20689655172413793,0.2413793103448276,2.103448275862069,1.3793103448275863,0.7241379310344828,0.8620689655172413,0.3103448275862069,0.5862068965517241,0.6206896551724138,0.3793103448275862,17.06896551724138,10.89655172413793,6.379310344827586,4.172413793103448,7.413793103448276,3.4827586206896552,1.5517241379310345,1.3793103448275863,61,40,495,316,185,0.12323232323232323,0.37373737373737376,2.1051724137931034,-0.0017241379310344307,0.12658227848101267,Total
N1,Nijmegen,29,1.8275862068965518,0.5172413793103449,0.27586206896551724,0.20689655172413793,2.4482758620689653,1.6206896551724137,0.8275862068965517,0.9655172413793104,0.1724137931034483,0.7931034482758621,0.7931034482758621,0.20689655172413793,16.344827586206897,11.379310344827585,6.827586206896552,4.931034482758621,5.758620689655173,4.137931034482759,1.6896551724137931,1.8275862068965518,71,47,474,330,198,0.14978902953586498,0.4177215189873418,2.253103448275862,0.19517241379310324,0.14242424242424243,Total
N1,Twente,29,1.7241379310344827,0.4482758620689655,0.3793103448275862,0.1724137931034483,1.6896551724137931,1.0689655172413792,0.6206896551724138,0.7931034482758621,0.2413793103448276,0.6206896551724138,0.4482758620689655,0.5517241379310345,17.75862068965517,10.206896551724139,6.344827586206897,3.5172413793103448,5.206896551724138,3.9310344827586206,1.4137931034482758,1.9655172413793103,49,31,515,296,184,0.09514563106796116,0.3572815533980582,2.093793103448276,-0.4041379310344828,0.10472972972972973,Total
N1,Ajax,29,1.6551724137931034,0.41379310344827586,0.41379310344827586,0.1724137931034483,1.8620689655172413,1.2758620689655173,0.5862068965517241,0.9310344827586207,0.2413793103448276,0.7241379310344828,0.5862068965517241,0.41379310344827586,14.551724137931034,13.10344827586207,5.931034482758621,4.655172413793103,4.862068965517241,4.827586206896552,1.7241379310344827,1.6551724137931034,54,37,422,380,172,0.12796208530805686,0.4075829383886256,1.957241379310345,-0.0951724137931036,0.09736842105263158,Total
N1,AZ Alkmaar,29,1.5517241379310345,0.4482758620689655,0.20689655172413793,0.3448275862068966,1.6896551724137931,1.5517241379310345,0.13793103448275862,0.896551724137931,0.2413793103448276,0.6551724137931034,0.6551724137931034,0.3448275862068966,15.241379310344827,12.379310344827585,5.862068965517241,4.482758620689655,5.724137931034483,4.379310344827586,2.0689655172413794,1.6551724137931034,49,45,442,359,170,0.11085972850678733,0.38461538461538464,1.9344827586206896,-0.24482758620689649,0.12534818941504178,Total
N1,Heerenveen,29,1.5172413793103448,0.41379310344827586,0.27586206896551724,0.3103448275862069,1.8275862068965518,1.6206896551724137,0.20689655172413793,0.8275862068965517,0.10344827586206896,0.7241379310344828,0.7586206896551724,0.2413793103448276,15.413793103448276,12.793103448275861,5.655172413793103,5.103448275862069,5.448275862068965,4.931034482758621,1.5172413793103448,1.3103448275862069,53,47,447,371,164,0.1185682326621924,0.3668903803131991,1.8662068965517242,-0.0386206896551724,0.12668463611859837,Total
N1,Sparta Rotterdam,29,1.4482758620689655,0.41379310344827586,0.20689655172413793,0.3793103448275862,1.206896551724138,1.6206896551724137,-0.41379310344827586,0.7586206896551724,0.3793103448275862,0.41379310344827586,0.4827586206896552,0.5172413793103449,12.827586206896552,15.89655172413793,4.620689655172414,5.931034482758621,4.586206896551724,6.758620689655173,1.9310344827586208,1.9655172413793103,35,47,372,461,134,0.09408602150537634,0.3602150537634409,1.5248275862068965,-0.3179310344827586,0.1019522776572668,Total
N1,Groningen,29,1.4137931034482758,0.41379310344827586,0.1724137931034483,0.41379310344827586,1.4482758620689655,1.2758620689655173,0.1724137931034483,0.7931034482758621,0.3103448275862069,0.5172413793103449,0.5172413793103449,0.4827586206896552,16.137931034482758,11.620689655172415,5.9655172413793105,4.241379310344827,6.413793103448276,4.724137931034483,1.8275862068965518,1.5172413793103448,42,37,468,337,173,0.08974358974358974,0.3696581196581197,1.9686206896551726,-0.520344827586207,0.10979228486646884,Total
N1,Utrecht,29,1.4137931034482758,0.3793103448275862,0.27586206896551724,0.3448275862068966,1.5517241379310345,1.206896551724138,0.3448275862068966,0.8275862068965517,0.2413793103448276,0.6206896551724138,0.4827586206896552,0.5172413793103449,14.758620689655173,12.655172413793103,5.275862068965517,4.655172413793103,5.172413793103448,4.517241379310345,1.4827586206896552,1.793103448275862,45,35,428,367,153,0.10514018691588785,0.3574766355140187,1.7410344827586208,-0.18931034482758635,0.09536784741144415,Total
N1,For Sittard,29,1.206896551724138,0.3448275862068966,0.1724137931034483,0.4827586206896552,1.4827586206896552,1.8620689655172413,-0.3793103448275862,0.8620689655172413,0.10344827586206896,0.7586206896551724,0.6896551724137931,0.3103448275862069,12.931034482758621,14.862068965517242,4.586206896551724,5.689655172413793,4.482758620689655,6.896551724137931,2.1724137931034484,1.2758620689655173,43,54,375,431,133,0.11466666666666667,0.3546666666666667,1.513448275862069,-0.030689655172413843,0.12529002320185614,Total
