league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
N1,AZ Alkmaar,2025-08-10,H,Groningen,4,1,W,3,1,3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0
N1,AZ Alkmaar,2025-08-17,A,Volendam,2,2,D,1,2,2.0,3.0,1.5,1.5,1.0,0.0,1.0,1.0,0.0
N1,AZ Alkmaar,2025-08-31,A,NAC Breda,1,0,W,3,3,2.3333333333333335,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
N1,AZ Alkmaar,2025-09-14,A,Heracles,2,1,W,3,4,2.5,2.25,1.0,1.25,0.75,0.25,0.75,1.0,0.25
N1,AZ Alkmaar,2025-09-21,H,Feyenoord,3,3,D,1,5,2.2,2.4,1.4,1.0,0.8,0.2,0.8,1.0,0.2
N1,AZ Alkmaar,2025-09-24,H,Zwolle,2,2,D,1,6,1.8,2.0,1.6,0.4,0.8,0.2,0.8,1.0,0.2
N1,AZ Alkmaar,2025-09-28,A,Nijmegen,1,2,L,0,7,1.6,1.8,1.6,0.2,0.8,0.2,0.8,1.0,0.2
N1,AZ Alkmaar,2025-10-05,H,Telstar,2,1,W,3,8,1.6,2.0,1.8,0.2,1.0,0.0,1.0,1.0,0.0
N1,AZ Alkmaar,2025-10-18,A,Ajax,2,0,W,3,9,1.6,2.0,1.6,0.4,0.8,0.2,0.8,1.0,0.2
N1,AZ Alkmaar,2025-10-26,H,Utrecht,4,1,W,3,10,2.0,2.2,1.2,1.0,0.8,0.2,0.8,1.0,0.2
N1,AZ Alkmaar,2025-11-02,A,Sparta Rotterdam,1,0,W,3,11,2.4,2.0,0.8,1.2,0.6,0.4,0.6,1.0,0.4
N1,AZ Alkmaar,2025-11-09,H,PSV Eindhoven,1,5,L,0,12,2.4,2.0,1.4,0.6,0.6,0.4,0.6,1.0,0.4
N1,AZ Alkmaar,2025-11-23,A,Heerenveen,1,3,L,0,13,1.8,1.8,1.8,0.0,0.6,0.4,0.6,1.0,0.4
N1,AZ Alkmaar,2025-11-30,A,Twente,0,1,L,0,14,1.2,1.4,2.0,-0.6,0.6,0.4,0.6,0.8,0.2
N1,AZ Alkmaar,2025-12-07,H,Go Ahead Eagles,2,2,D,1,15,0.8,1.0,2.2,-1.2,0.6,0.4,0.6,0.8,0.2
N1,AZ Alkmaar,2025-12-21,A,For Sittard,3,4,L,0,16,0.2,1.4,3.0,-1.6,0.8,0.2,0.8,0.8,0.0
N1,AZ Alkmaar,2026-01-10,H,Volendam,1,0,W,3,17,0.8,1.4,2.0,-0.6,0.6,0.4,0.6,0.8,0.2
N1,AZ Alkmaar,2026-01-17,A,Zwolle,1,3,L,0,18,0.8,1.4,2.0,-0.6,0.6,0.4,0.6,0.8,0.2
N1,AZ Alkmaar,2026-01-21,H,Excelsior,1,1,D,1,19,1.0,1.6,2.0,-0.4,0.6,0.4,0.8,1.0,0.2
N1,AZ Alkmaar,2026-01-25,A,Telstar,1,0,W,3,20,1.4,1.4,1.6,-0.2,0.4,0.6,0.6,1.0,0.4
N1,AZ Alkmaar,2026-01-31,H,Nijmegen,1,3,L,0,21,1.4,1.0,1.4,-0.4,0.4,0.6,0.6,1.0,0.4
N1,AZ Alkmaar,2026-02-08,H,Ajax,1,1,D,1,22,1.0,1.0,1.6,-0.6,0.4,0.6,0.8,1.0,0.2
N1,AZ Alkmaar,2026-02-14,A,Excelsior,2,1,W,3,23,1.6,1.2,1.2,0.0,0.4,0.6,0.8,1.0,0.2
N1,AZ Alkmaar,2026-02-22,H,Sparta Rotterdam,3,1,W,3,24,2.0,1.6,1.2,0.4,0.6,0.4,0.8,1.0,0.2
N1,AZ Alkmaar,2026-03-01,A,Utrecht,0,2,L,0,25,1.4,1.4,1.6,-0.2,0.6,0.4,0.8,0.8,0.0
N1,AZ Alkmaar,2026-03-07,A,PSV Eindhoven,1,2,L,0,26,1.4,1.4,1.4,0.0,0.6,0.4,0.8,0.8,0.0
N1,AZ Alkmaar,2026-03-15,H,Heracles,4,0,W,3,27,1.8,2.0,1.2,0.8,0.8,0.2,0.6,0.8,0.2
N1,AZ Alkmaar,2026-03-22,A,Groningen,0,3,L,0,28,1.2,1.6,1.6,0.0,0.8,0.2,0.4,0.6,0.2
N1,AZ Alkmaar,2026-04-04,H,For Sittard,2,0,W,3,29,1.2,1.4,1.4,0.0,0.6,0.4,0.2,0.6,0.4
N1,Ajax,2025-08-10,H,Telstar,2,0,W,3,1,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
N1,Ajax,2025-08-17,A,Go Ahead Eagles,2,2,D,1,2,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
N1,Ajax,2025-08-24,H,Heracles,2,0,W,3,3,2.3333333333333335,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
N1,Ajax,2025-08-30,A,Volendam,1,1,D,1,4,2.0,1.75,0.75,1.0,0.25,0.75,0.5,1.0,0.5
N1,Ajax,2025-09-13,H,Zwolle,3,1,W,3,5,2.2,2.0,0.8,1.2,0.4,0.6,0.6,1.0,0.4
N1,Ajax,2025-09-21,A,PSV Eindhoven,2,2,D,1,6,1.8,2.0,1.2,0.8,0.6,0.4,0.8,1.0,0.2
N1,Ajax,2025-09-27,H,NAC Breda,2,1,W,3,7,2.2,2.0,1.0,1.0,0.6,0.4,0.8,1.0,0.2
N1,Ajax,2025-10-04,A,Sparta Rotterdam,3,3,D,1,8,1.8,2.2,1.6,0.6,0.8,0.2,1.0,1.0,0.0
N1,Ajax,2025-10-18,H,AZ Alkmaar,0,2,L,0,9,1.6,2.0,1.8,0.2,0.8,0.2,0.8,0.8,0.0
N1,Ajax,2025-10-26,A,Twente,3,2,W,3,10,1.6,2.0,2.0,0.0,0.8,0.2,0.8,0.8,0.0
N1,Ajax,2025-11-01,H,Heerenveen,1,1,D,1,11,1.6,1.8,1.8,0.0,0.6,0.4,0.8,0.8,0.0
N1,Ajax,2025-11-09,A,Utrecht,1,2,L,0,12,1.0,1.6,2.0,-0.4,0.6,0.4,0.8,0.8,0.0
N1,Ajax,2025-11-22,H,Excelsior,1,2,L,0,13,0.8,1.2,1.8,-0.6,0.6,0.4,0.8,0.8,0.0
N1,Ajax,2025-12-02,H,Groningen,2,0,W,3,14,1.4,1.6,1.4,0.2,0.6,0.4,0.8,1.0,0.2
N1,Ajax,2025-12-06,A,For Sittard,3,1,W,3,15,1.4,1.6,1.2,0.4,0.6,0.4,0.8,1.0,0.2
N1,Ajax,2025-12-14,H,Feyenoord,2,0,W,3,16,1.8,1.8,1.0,0.8,0.6,0.4,0.6,1.0,0.4
N1,Ajax,2025-12-20,A,Nijmegen,2,2,D,1,17,2.0,2.0,1.0,1.0,0.6,0.4,0.6,1.0,0.4
N1,Ajax,2026-01-11,A,Telstar,3,2,W,3,18,2.6,2.4,1.0,1.4,0.6,0.4,0.6,1.0,0.4
N1,Ajax,2026-01-17,H,Go Ahead Eagles,2,2,D,1,19,2.2,2.4,1.4,1.0,0.8,0.2,0.8,1.0,0.2
N1,Ajax,2026-01-24,H,Volendam,2,0,W,3,20,2.2,2.2,1.2,1.0,0.6,0.4,0.6,1.0,0.4
N1,Ajax,2026-02-01,A,Excelsior,2,2,D,1,21,1.8,2.2,1.6,0.6,0.8,0.2,0.8,1.0,0.2
N1,Ajax,2026-02-08,A,AZ Alkmaar,1,1,D,1,22,1.8,2.0,1.4,0.6,0.6,0.4,0.8,1.0,0.2
N1,Ajax,2026-02-14,H,For Sittard,4,1,W,3,23,1.8,2.2,1.2,1.0,0.6,0.4,0.8,1.0,0.2
N1,Ajax,2026-02-21,H,Nijmegen,1,1,D,1,24,1.8,2.0,1.0,1.0,0.4,0.6,0.8,1.0,0.2
N1,Ajax,2026-03-01,A,Zwolle,0,0,D,1,25,1.4,1.6,1.0,0.6,0.4,0.6,0.8,0.8,0.2
N1,Ajax,2026-03-07,A,Groningen,1,3,L,0,26,1.2,1.4,1.2,0.2,0.4,0.6,0.8,0.8,0.2
N1,Ajax,2026-03-14,H,Sparta Rotterdam,4,0,W,3,27,1.6,2.0,1.0,1.0,0.6,0.4,0.6,0.8,0.4
N1,Ajax,2026-03-22,A,Feyenoord,1,1,D,1,28,1.2,1.4,1.0,0.4,0.4,0.6,0.6,0.8,0.4
N1,Ajax,2026-04-04,H,Twente,1,2,L,0,29,1.0,1.4,1.2,0.2,0.6,0.4,0.6,0.8,0.4
N1,Excelsior,2025-08-09,A,Nijmegen,0,5,L,0,1,0.0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0
N1,Excelsior,2025-08-16,H,Feyenoord,1,2,L,0,2,0.0,0.5,3.5,-3.0,1.0,0.0,0.5,0.5,0.0
N1,Excelsior,2025-08-24,A,Utrecht,1,4,L,0,3,0.0,0.6666666666666666,3.6666666666666665,-3.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
N1,Excelsior,2025-08-30,H,Twente,1,0,W,3,4,0.75,0.75,2.75,-2.0,0.75,0.25,0.5,0.75,0.25
N1,Excelsior,2025-09-14,H,Sparta Rotterdam,0,1,L,0,5,0.6,0.6,2.4,-1.8,0.6,0.4,0.4,0.6,0.2
N1,Excelsior,2025-09-20,A,Volendam,2,1,W,3,6,1.2,1.0,1.6,-0.6,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-09-27,H,PSV Eindhoven,1,2,L,0,7,1.2,1.0,1.6,-0.6,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-10-04,A,Heerenveen,1,2,L,0,8,1.2,1.0,1.2,-0.2,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-10-19,H,For Sittard,1,0,W,3,9,1.2,1.0,1.2,-0.2,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-10-26,A,Go Ahead Eagles,0,2,L,0,10,1.2,1.0,1.4,-0.4,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-11-01,A,Telstar,2,2,D,1,11,0.8,1.0,1.6,-0.6,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-11-08,H,Heracles,1,2,L,0,12,0.8,1.0,1.6,-0.6,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-11-22,A,Ajax,2,1,W,3,13,1.4,1.2,1.4,-0.2,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-11-29,H,NAC Breda,1,0,W,3,14,1.4,1.2,1.4,-0.2,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-12-05,H,Groningen,0,2,L,0,15,1.4,1.2,1.4,-0.2,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2025-12-20,H,Zwolle,2,1,W,3,16,1.8,1.2,1.2,0.0,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2026-01-10,A,PSV Eindhoven,1,5,L,0,17,1.8,1.2,1.8,-0.6,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2026-01-17,H,Telstar,2,2,D,1,18,1.4,1.2,2.0,-0.8,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2026-01-21,A,AZ Alkmaar,1,1,D,1,19,1.0,1.2,2.2,-1.0,0.6,0.4,0.8,0.8,0.0
N1,Excelsior,2026-01-24,A,Twente,0,0,D,1,20,1.2,1.2,1.8,-0.6,0.6,0.4,0.8,0.8,0.2
N1,Excelsior,2026-02-01,H,Ajax,2,2,D,1,21,0.8,1.2,2.0,-0.8,0.6,0.4,0.8,0.8,0.2
N1,Excelsior,2026-02-06,A,NAC Breda,2,0,W,3,22,1.4,1.4,1.0,0.4,0.4,0.6,0.6,0.8,0.4
N1,Excelsior,2026-02-14,H,AZ Alkmaar,1,2,L,0,23,1.2,1.2,1.0,0.2,0.4,0.6,0.6,0.8,0.4
N1,Excelsior,2026-02-20,A,For Sittard,1,2,L,0,24,1.0,1.2,1.2,0.0,0.6,0.4,0.6,0.8,0.4
N1,Excelsior,2026-03-01,H,Go Ahead Eagles,0,1,L,0,25,0.8,1.2,1.4,-0.2,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2026-03-07,H,Heerenveen,1,2,L,0,26,0.6,1.0,1.4,-0.4,0.6,0.4,0.6,0.8,0.2
N1,Excelsior,2026-03-15,A,Feyenoord,1,2,L,0,27,0.0,0.8,1.8,-1.0,0.8,0.2,0.8,0.8,0.0
N1,Excelsior,2026-03-20,A,Heracles,1,1,D,1,28,0.2,0.8,1.6,-0.8,0.6,0.4,0.8,0.8,0.0
N1,Excelsior,2026-04-04,H,Nijmegen,0,2,L,0,29,0.2,0.6,1.6,-1.0,0.4,0.6,0.6,0.6,0.0
N1,Feyenoord,2025-08-09,H,NAC Breda,2,0,W,3,1,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
N1,Feyenoord,2025-08-16,A,Excelsior,2,1,W,3,2,3.0,2.0,0.5,1.5,0.5,0.5,0.5,1.0,0.5
N1,Feyenoord,2025-08-31,A,Sparta Rotterdam,4,0,W,3,3,3.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666
N1,Feyenoord,2025-09-13,H,Heerenveen,1,0,W,3,4,3.0,2.25,0.25,2.0,0.5,0.5,0.25,1.0,0.75
N1,Feyenoord,2025-09-17,H,For Sittard,2,0,W,3,5,3.0,2.2,0.2,2.0,0.4,0.6,0.2,1.0,0.8
N1,Feyenoord,2025-09-21,A,AZ Alkmaar,3,3,D,1,6,2.6,2.4,0.8,1.6,0.6,0.4,0.4,1.0,0.6
N1,Feyenoord,2025-09-28,A,Groningen,1,0,W,3,7,2.6,2.2,0.6,1.6,0.4,0.6,0.2,1.0,0.8
N1,Feyenoord,2025-10-05,H,Utrecht,3,2,W,3,8,2.6,2.0,1.0,1.0,0.4,0.6,0.4,1.0,0.6
N1,Feyenoord,2025-10-19,A,Heracles,7,0,W,3,9,2.6,3.2,1.0,2.2,0.6,0.4,0.4,1.0,0.6
N1,Feyenoord,2025-10-26,H,PSV Eindhoven,2,3,L,0,10,2.0,3.2,1.6,1.6,0.8,0.2,0.6,1.0,0.4
N1,Feyenoord,2025-11-01,H,Volendam,3,1,W,3,11,2.4,3.2,1.2,2.0,0.8,0.2,0.6,1.0,0.4
N1,Feyenoord,2025-11-09,A,Go Ahead Eagles,1,2,L,0,12,1.8,3.2,1.6,1.6,1.0,0.0,0.8,1.0,0.2
N1,Feyenoord,2025-11-23,H,Nijmegen,2,4,L,0,13,1.2,3.0,2.0,1.0,1.0,0.0,0.8,1.0,0.2
N1,Feyenoord,2025-11-30,A,Telstar,2,1,W,3,14,1.2,2.0,2.2,-0.2,1.0,0.0,1.0,1.0,0.0
N1,Feyenoord,2025-12-06,H,Zwolle,6,1,W,3,15,1.8,2.8,1.8,1.0,1.0,0.0,1.0,1.0,0.0
N1,Feyenoord,2025-12-14,A,Ajax,0,2,L,0,16,1.2,2.2,2.0,0.2,0.8,0.2,0.8,0.8,0.0
N1,Feyenoord,2025-12-21,H,Twente,1,1,D,1,17,1.4,2.2,1.8,0.4,0.6,0.4,0.8,0.8,0.0
N1,Feyenoord,2026-01-11,A,Heerenveen,2,2,D,1,18,1.6,2.2,1.4,0.8,0.6,0.4,0.8,0.8,0.0
N1,Feyenoord,2026-01-18,H,Sparta Rotterdam,3,4,L,0,19,1.0,2.4,2.0,0.4,0.6,0.4,0.8,0.8,0.0
N1,Feyenoord,2026-01-25,H,Heracles,4,2,W,3,20,1.0,2.0,2.2,-0.2,0.6,0.4,0.8,0.8,0.0
N1,Feyenoord,2026-02-01,A,PSV Eindhoven,0,3,L,0,21,1.0,2.0,2.4,-0.4,0.8,0.2,0.8,0.8,0.0
N1,Feyenoord,2026-02-08,A,Utrecht,1,0,W,3,22,1.4,2.0,2.2,-0.2,0.8,0.2,0.6,0.8,0.2
N1,Feyenoord,2026-02-15,H,Go Ahead Eagles,1,0,W,3,23,1.8,1.8,1.8,0.0,0.6,0.4,0.4,0.8,0.4
N1,Feyenoord,2026-02-22,H,Telstar,2,1,W,3,24,2.4,1.6,1.2,0.4,0.6,0.4,0.4,0.8,0.4
N1,Feyenoord,2026-03-01,A,Twente,0,2,L,0,25,1.8,0.8,1.2,-0.4,0.4,0.6,0.2,0.6,0.4
N1,Feyenoord,2026-03-08,A,NAC Breda,3,3,D,1,26,2.0,1.4,1.2,0.2,0.4,0.6,0.4,0.8,0.4
N1,Feyenoord,2026-03-15,H,Excelsior,2,1,W,3,27,2.0,1.6,1.4,0.2,0.6,0.4,0.6,0.8,0.2
N1,Feyenoord,2026-03-22,H,Ajax,1,1,D,1,28,1.6,1.6,1.6,0.0,0.6,0.4,0.8,0.8,0.0
N1,Feyenoord,2026-04-05,A,Volendam,0,0,D,1,29,1.2,1.2,1.4,-0.2,0.4,0.6,0.6,0.6,0.2
N1,For Sittard,2025-08-08,H,Go Ahead Eagles,2,2,D,1,1,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
N1,For Sittard,2025-08-17,A,NAC Breda,1,2,L,0,2,0.5,1.5,2.0,-0.5,1.0,0.0,1.0,1.0,0.0
N1,For Sittard,2025-08-31,H,Nijmegen,3,2,W,3,3,1.3333333333333333,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
N1,For Sittard,2025-09-14,A,Telstar,3,1,W,3,4,1.75,2.25,1.75,0.5,1.0,0.0,1.0,1.0,0.0
N1,For Sittard,2025-09-17,A,Feyenoord,0,2,L,0,5,1.4,1.8,1.8,0.0,0.8,0.2,0.8,0.8,0.0
N1,For Sittard,2025-09-20,H,Utrecht,1,0,W,3,6,1.8,1.6,1.4,0.2,0.6,0.4,0.6,0.8,0.2
