league,team,scope,market,jogos,n_eventos,hit_rate,hit_std,wilson_lo,wilson_hi,edge_vs_liga,roi_unid_por_aposta,odds_avg,prob_impl,value_estimado,form_recent_5,alerta_tendencia_inversa
P1,AVS,Fora,Vitória (1X2),14,14.0,0.0,0.0,0.0,0.21531701192718142,-0.37,-1.0,8.938571428571427,0.11187470033562412,-1.0,0.0,False
P1,AVS,Fora,Over 2.5 golos,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.15428571428571425,0.3450000000000001,1.8900000000000001,0.5291005291005291,0.3500000000000001,0.6,False
P1,AVS,Fora,Under 2.5 golos,14,14.0,0.2857142857142857,0.45175395145262565,0.11721187910109102,0.546495411724844,-0.1542857142857143,-0.44499999999999995,2.002857142857143,0.49928673323823103,-0.42775510204081624,0.4,False
P1,AVS,Fora,Handicap Asiático (AH),14,,,,,,,-0.3792857142857143,2.033571428571429,0.4917456972251492,,,False
P1,AVS,Fora,Casa marca (>=1),14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.3448571428571428,,,,,0.2,True
P1,AVS,Fora,Clean sheet,14,14.0,0.14285714285714285,0.3499271061118826,0.04009307373792117,0.399419077638637,-0.15514285714285714,,,,,0.4,False
P1,AVS,Fora,Ambas marcam (BTTS),14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.11085714285714288,,,,,0.2,True
P1,AVS,Fora,Over 1.5 golos,14,14.0,0.8571428571428571,0.34992710611188266,0.600580922361363,0.9599069262620787,0.09714285714285709,,,,,0.6,True
P1,AVS,Fora,Over 3.5 golos,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.2,,,,,0.2,True
P1,AVS,Fora,Cantos total Over 8.5,14,14.0,0.7142857142857143,0.45175395145262565,0.4535045882751561,0.882788120898909,0.15028571428571436,,,,,0.6,False
P1,AVS,Fora,Cantos total Over 9.5,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.03999999999999998,,,,,0.4,False
P1,AVS,Fora,Cantos total Over 10.5,14,14.0,0.42857142857142855,0.49487165930539345,0.21380509930400526,0.6740973309713064,0.07257142857142856,,,,,0.4,False
P1,AVS,Fora,Cantos equipa Over 4.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.11685714285714283,,,,,0.2,True
P1,AVS,Fora,Cantos equipa Over 5.5,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.11371428571428574,,,,,0.2,False
P1,AVS,Fora,Equipa ganha cantos,14,14.0,0.21428571428571427,0.41032590332414487,0.07571248336916371,0.4758972377320828,-0.24771428571428575,,,,,0.0,True
P1,AVS,Casa,Vitória (1X2),14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.2985714285714286,-0.7100000000000001,4.546428571428572,0.2199528672427337,-0.6752551020408164,0.2,False
P1,AVS,Casa,Over 2.5 golos,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,-0.06000000000000005,-0.015000000000000029,2.09,0.47846889952153115,0.04499999999999993,0.4,False
