league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
P1,AVS,2025-08-09,A,Arouca,1,3,L,0,1,0.0,1.0,3.0,-2.0,1.0,0.0,1.0,1.0,0.0
P1,AVS,2025-08-15,H,Casa Pia,0,2,L,0,2,0.0,0.5,2.5,-2.0,0.5,0.5,0.5,0.5,0.0
P1,AVS,2025-08-24,A,Sp Braga,2,2,D,1,3,0.3333333333333333,1.0,2.3333333333333335,-1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
P1,AVS,2025-08-30,H,Famalicao,0,1,L,0,4,0.25,0.75,2.0,-1.25,0.5,0.5,0.5,0.5,0.0
P1,AVS,2025-09-13,A,Estoril,1,3,L,0,5,0.2,0.8,2.2,-1.4,0.6,0.4,0.6,0.6,0.0
P1,AVS,2025-09-20,H,Benfica,0,3,L,0,6,0.2,0.6,2.2,-1.6,0.6,0.4,0.4,0.4,0.0
P1,AVS,2025-09-27,A,Estrela,0,3,L,0,7,0.2,0.6,2.4,-1.8,0.8,0.2,0.4,0.4,0.0
P1,AVS,2025-10-04,H,Alverca,1,3,L,0,8,0.0,0.4,2.6,-2.2,0.8,0.2,0.4,0.4,0.0
P1,AVS,2025-10-25,A,Santa Clara,0,2,L,0,9,0.0,0.4,2.8,-2.4,0.8,0.2,0.4,0.4,0.0
P1,AVS,2025-11-02,H,Tondela,2,2,D,1,10,0.2,0.6,2.6,-2.0,0.8,0.2,0.4,0.4,0.0
P1,AVS,2025-11-09,H,Gil Vicente,1,1,D,1,11,0.4,0.8,2.2,-1.4,0.6,0.4,0.6,0.6,0.0
P1,AVS,2025-11-28,A,Guimaraes,0,4,L,0,12,0.4,0.8,2.4,-1.6,0.6,0.4,0.6,0.6,0.0
P1,AVS,2025-12-06,H,Rio Ave,1,2,L,0,13,0.4,0.8,2.2,-1.4,0.6,0.4,0.6,0.6,0.0
P1,AVS,2025-12-13,A,Sp Lisbon,0,6,L,0,14,0.4,0.8,3.0,-2.2,0.8,0.2,0.6,0.6,0.0
P1,AVS,2025-12-21,H,Nacional,2,2,D,1,15,0.4,0.8,3.0,-2.2,0.8,0.2,0.6,0.6,0.0
P1,AVS,2025-12-29,A,Porto,0,2,L,0,16,0.2,0.6,3.2,-2.6,0.8,0.2,0.4,0.4,0.0
P1,AVS,2026-01-03,H,Moreirense,0,2,L,0,17,0.2,0.6,2.8,-2.2,0.6,0.4,0.4,0.4,0.0
P1,AVS,2026-01-17,H,Arouca,0,1,L,0,18,0.2,0.4,2.6,-2.2,0.4,0.6,0.2,0.2,0.0
P1,AVS,2026-01-23,A,Casa Pia,3,3,D,1,19,0.4,1.0,2.0,-1.0,0.4,0.6,0.4,0.4,0.0
P1,AVS,2026-02-02,H,Sp Braga,0,4,L,0,20,0.2,0.6,2.4,-1.8,0.4,0.6,0.2,0.2,0.0
P1,AVS,2026-02-09,A,Famalicao,1,3,L,0,21,0.2,0.8,2.6,-1.8,0.6,0.4,0.4,0.4,0.0
P1,AVS,2026-02-15,H,Estoril,3,0,W,3,22,0.8,1.4,2.2,-0.8,0.8,0.2,0.4,0.6,0.2
P1,AVS,2026-02-21,A,Benfica,0,3,L,0,23,0.8,1.4,2.6,-1.2,1.0,0.0,0.4,0.6,0.2
P1,AVS,2026-02-28,H,Estrela,0,0,D,1,24,0.8,0.8,2.0,-1.2,0.8,0.2,0.2,0.4,0.4
P1,AVS,2026-03-07,A,Alverca,0,0,D,1,25,1.0,0.8,1.2,-0.4,0.6,0.4,0.2,0.4,0.6
P1,AVS,2026-03-15,H,Santa Clara,0,1,L,0,26,1.0,0.6,0.8,-0.2,0.4,0.6,0.0,0.2,0.6
P1,AVS,2026-03-21,A,Tondela,0,0,D,1,27,0.6,0.0,0.8,-0.8,0.2,0.8,0.0,0.0,0.6
P1,AVS,2026-04-03,A,Gil Vicente,0,3,L,0,28,0.6,0.0,0.8,-0.8,0.2,0.8,0.0,0.0,0.6
P1,Alverca,2025-08-10,A,Moreirense,1,2,L,0,1,0.0,1.0,2.0,-1.0,1.0,0.0,1.0,1.0,0.0
P1,Alverca,2025-08-17,H,Sp Braga,0,3,L,0,2,0.0,0.5,2.5,-2.0,1.0,0.0,0.5,0.5,0.0
P1,Alverca,2025-08-25,A,Estrela,2,2,D,1,3,0.3333333333333333,1.0,2.3333333333333335,-1.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
P1,Alverca,2025-08-31,H,Benfica,1,2,L,0,4,0.25,1.0,2.25,-1.25,1.0,0.0,0.75,0.75,0.0
P1,Alverca,2025-09-12,H,Tondela,1,0,W,3,5,0.8,1.0,1.8,-0.8,0.8,0.2,0.6,0.8,0.2
P1,Alverca,2025-09-20,A,Santa Clara,1,2,L,0,6,0.8,1.0,1.8,-0.8,0.8,0.2,0.6,0.8,0.2
P1,Alverca,2025-09-28,H,Guimaraes,2,0,W,3,7,1.4,1.4,1.2,0.2,0.6,0.4,0.6,1.0,0.4
P1,Alverca,2025-10-04,A,AVS,3,1,W,3,8,1.8,1.6,1.0,0.6,0.6,0.4,0.6,1.0,0.4
P1,Alverca,2025-10-24,H,Gil Vicente,0,4,L,0,9,1.8,1.4,1.4,0.0,0.6,0.4,0.4,0.8,0.4
P1,Alverca,2025-10-31,A,Sp Lisbon,0,2,L,0,10,1.2,1.2,1.8,-0.6,0.6,0.4,0.4,0.6,0.2
P1,Alverca,2025-11-08,H,Rio Ave,1,1,D,1,11,1.4,1.2,1.6,-0.4,0.4,0.6,0.4,0.6,0.2
P1,Alverca,2025-11-29,A,Casa Pia,2,0,W,3,12,1.4,1.2,1.6,-0.4,0.4,0.6,0.4,0.6,0.2
P1,Alverca,2025-12-07,H,Nacional,1,0,W,3,13,1.4,0.8,1.4,-0.6,0.2,0.8,0.2,0.6,0.4
P1,Alverca,2025-12-14,A,Arouca,0,1,L,0,14,1.4,0.8,0.8,0.0,0.0,1.0,0.2,0.6,0.4
P1,Alverca,2025-12-22,H,Porto,0,3,L,0,15,1.4,0.8,1.0,-0.2,0.2,0.8,0.2,0.6,0.4
P1,Alverca,2025-12-27,A,Estoril,1,4,L,0,16,1.2,0.8,1.6,-0.8,0.4,0.6,0.2,0.6,0.4
P1,Alverca,2026-01-04,H,Famalicao,1,0,W,3,17,1.2,0.6,1.6,-1.0,0.4,0.6,0.2,0.6,0.4
P1,Alverca,2026-01-17,H,Moreirense,2,1,W,3,18,1.2,0.8,1.8,-1.0,0.6,0.4,0.4,0.6,0.2
P1,Alverca,2026-01-25,A,Sp Braga,0,5,L,0,19,1.2,0.8,2.6,-1.8,0.8,0.2,0.4,0.6,0.2
P1,Alverca,2026-01-31,H,Estrela,1,1,D,1,20,1.4,1.0,2.2,-1.2,0.6,0.4,0.6,0.8,0.2
P1,Alverca,2026-02-08,A,Benfica,1,2,L,0,21,1.4,1.0,1.8,-0.8,0.6,0.4,0.6,0.8,0.2
P1,Alverca,2026-02-13,A,Tondela,1,1,D,1,22,1.0,1.0,2.0,-1.0,0.6,0.4,0.8,0.8,0.0
P1,Alverca,2026-02-21,H,Santa Clara,1,1,D,1,23,0.6,0.8,2.0,-1.2,0.4,0.6,0.8,0.8,0.0
P1,Alverca,2026-02-28,A,Guimaraes,1,1,D,1,24,0.8,1.0,1.2,-0.2,0.2,0.8,1.0,1.0,0.0
P1,Alverca,2026-03-07,H,AVS,0,0,D,1,25,0.8,0.8,1.0,-0.2,0.2,0.8,0.8,0.8,0.2
P1,Alverca,2026-03-14,A,Gil Vicente,2,2,D,1,26,1.0,1.0,1.0,0.0,0.2,0.8,0.8,0.8,0.2
P1,Alverca,2026-03-22,H,Sp Lisbon,1,4,L,0,27,0.8,1.0,1.6,-0.6,0.4,0.6,0.8,0.8,0.2
P1,Alverca,2026-04-04,A,Rio Ave,2,1,W,3,28,1.2,1.2,1.6,-0.4,0.6,0.4,0.8,0.8,0.2
P1,Arouca,2025-08-09,H,AVS,3,1,W,3,1,3.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
P1,Arouca,2025-08-17,A,Sp Lisbon,0,6,L,0,2,1.5,1.5,3.5,-2.0,1.0,0.0,0.5,0.5,0.0
P1,Arouca,2025-08-23,H,Rio Ave,3,3,D,1,3,1.3333333333333333,2.0,3.3333333333333335,-1.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
P1,Arouca,2025-08-30,A,Guimaraes,1,1,D,1,4,1.25,1.75,2.75,-1.0,0.75,0.25,0.75,0.75,0.0
P1,Arouca,2025-09-14,H,Casa Pia,0,2,L,0,5,1.0,1.4,2.6,-1.2,0.6,0.4,0.6,0.6,0.0
P1,Arouca,2025-09-20,A,Nacional,2,1,W,3,6,1.0,1.2,2.6,-1.4,0.6,0.4,0.6,0.6,0.0
P1,Arouca,2025-09-29,H,Porto,0,4,L,0,7,1.0,1.2,2.2,-1.0,0.6,0.4,0.6,0.6,0.0
P1,Arouca,2025-10-05,H,Famalicao,1,1,D,1,8,1.0,0.8,1.8,-1.0,0.4,0.6,0.6,0.6,0.0
P1,Arouca,2025-10-25,A,Benfica,0,5,L,0,9,0.8,0.6,2.6,-2.0,0.6,0.4,0.4,0.4,0.0
P1,Arouca,2025-11-02,H,Moreirense,0,2,L,0,10,0.8,0.6,2.6,-2.0,0.6,0.4,0.4,0.4,0.0
P1,Arouca,2025-11-07,A,Estoril,3,4,L,0,11,0.2,0.8,3.2,-2.4,0.6,0.4,0.4,0.4,0.0
P1,Arouca,2025-12-01,H,Sp Braga,0,4,L,0,12,0.2,0.8,3.2,-2.4,0.6,0.4,0.4,0.4,0.0
P1,Arouca,2025-12-07,A,Estrela,1,3,L,0,13,0.0,0.8,3.6,-2.8,0.8,0.2,0.4,0.4,0.0
P1,Arouca,2025-12-14,H,Alverca,1,0,W,3,14,0.6,1.0,2.6,-1.6,0.6,0.4,0.4,0.6,0.2
P1,Arouca,2025-12-21,A,Santa Clara,0,0,D,1,15,0.8,1.0,2.2,-1.2,0.6,0.4,0.4,0.6,0.4
P1,Arouca,2025-12-28,H,Gil Vicente,2,2,D,1,16,1.0,0.8,1.8,-1.0,0.6,0.4,0.4,0.6,0.4
P1,Arouca,2026-01-03,A,Tondela,1,3,L,0,17,1.0,1.0,1.6,-0.6,0.6,0.4,0.6,0.8,0.4
P1,Arouca,2026-01-17,A,AVS,1,0,W,3,18,1.6,1.0,1.0,0.0,0.4,0.6,0.4,0.8,0.6
