league,team,jogos,ppg,vit%,emp%,der%,golos_marcados,golos_sofridos,diff_golos,marca%,CS%,BTTS%,O2.5%,U2.5%,remates,remates_sofridos,SOT,SOT_sofridos,cantos,cantos_sofridos,amarelos,amarelos_sofridos,gf_sum,ga_sum,shots_sum,shots_against_sum,sot_sum,conversion_rate,sot_pct,xg_impl,xg_overperf,defensive_solidity,scope
SC0,Hearts,32,2.09375,0.625,0.21875,0.15625,1.71875,0.84375,0.875,0.875,0.5,0.40625,0.46875,0.53125,14.46875,10.0625,5.1875,2.9375,5.5,4.5,1.78125,2.4375,55,27,463,322,166,0.11879049676025918,0.35853131749460043,1.711875,0.0068749999999999645,0.08385093167701864,Total
SC0,Rangers,32,2.0625,0.5625,0.375,0.0625,1.875,0.875,1.0,0.875,0.375,0.59375,0.53125,0.46875,16.59375,10.5625,6.1875,3.78125,6.90625,4.03125,1.9375,1.96875,60,28,531,338,198,0.11299435028248588,0.3728813559322034,2.041875,-0.1668750000000001,0.08284023668639054,Total
SC0,Celtic,32,2.0,0.625,0.125,0.25,1.8125,1.09375,0.71875,0.84375,0.375,0.53125,0.65625,0.34375,16.9375,9.34375,5.6875,3.4375,6.71875,3.78125,1.8125,1.6875,58,35,542,299,182,0.1070110701107011,0.33579335793357934,1.876875,-0.06437500000000007,0.11705685618729098,Total
SC0,Motherwell,32,1.6875,0.4375,0.375,0.1875,1.59375,0.8125,0.78125,0.8125,0.53125,0.4375,0.375,0.625,13.34375,10.5,5.0,3.65625,3.8125,4.03125,1.40625,3.0625,51,26,427,336,160,0.11943793911007025,0.3747072599531616,1.6500000000000001,-0.05625000000000013,0.07738095238095238,Total
SC0,Hibernian,32,1.59375,0.40625,0.375,0.21875,1.59375,1.09375,0.5,0.71875,0.34375,0.5,0.53125,0.46875,13.03125,11.25,4.90625,3.71875,5.28125,5.34375,1.71875,2.03125,51,35,417,360,157,0.1223021582733813,0.3764988009592326,1.6190625,-0.02531250000000007,0.09722222222222222,Total
SC0,Falkirk,32,1.4375,0.40625,0.21875,0.375,1.3125,1.3125,0.0,0.6875,0.25,0.5,0.53125,0.46875,12.28125,12.09375,4.0,4.4375,4.78125,4.78125,2.0625,1.875,42,42,393,387,128,0.10687022900763359,0.3256997455470738,1.32,-0.007500000000000062,0.10852713178294573,Total
SC0,Dundee United,32,1.15625,0.25,0.40625,0.34375,1.3125,1.625,-0.3125,0.6875,0.15625,0.59375,0.5,0.5,13.21875,15.59375,4.5625,4.84375,4.625,5.46875,2.28125,1.65625,42,52,423,499,146,0.09929078014184398,0.34515366430260047,1.505625,-0.193125,0.10420841683366733,Total
SC0,Dundee,32,1.0,0.25,0.25,0.5,1.0,1.59375,-0.59375,0.5625,0.15625,0.46875,0.53125,0.46875,9.96875,15.71875,3.03125,5.53125,3.78125,5.84375,1.4375,1.90625,32,51,319,503,97,0.10031347962382445,0.30407523510971785,1.0003125,-0.00031249999999993783,0.10139165009940358,Total
SC0,Aberdeen,32,0.9375,0.25,0.1875,0.5625,0.96875,1.5,-0.53125,0.53125,0.21875,0.375,0.34375,0.65625,11.375,15.21875,3.46875,4.90625,4.8125,5.53125,2.53125,1.9375,31,48,364,487,111,0.08516483516483517,0.30494505494505497,1.1446875,-0.17593750000000008,0.09856262833675565,Total
SC0,St Mirren,32,0.9375,0.21875,0.28125,0.5,0.84375,1.46875,-0.625,0.5625,0.25,0.40625,0.34375,0.65625,11.875,12.90625,3.5,4.375,5.53125,5.71875,1.96875,1.1875,27,47,380,413,112,0.07105263157894737,0.29473684210526313,1.155,-0.31125,0.11380145278450363,Total
