league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
SC0,Aberdeen,2025-08-04,A,Hearts,0,2,L,0,1,0.0,0.0,2.0,-2.0,0.0,1.0,0.0,0.0,0.0
SC0,Aberdeen,2025-08-10,H,Celtic,0,2,L,0,2,0.0,0.0,2.0,-2.0,0.0,1.0,0.0,0.0,0.0
SC0,Aberdeen,2025-08-31,H,Falkirk,0,1,L,0,3,0.0,0.0,1.6666666666666667,-1.6666666666666667,0.0,1.0,0.0,0.0,0.0
SC0,Aberdeen,2025-09-13,H,Livingston,0,0,D,1,4,0.25,0.0,1.25,-1.25,0.0,1.0,0.0,0.0,0.25
SC0,Aberdeen,2025-09-23,A,Dundee United,0,2,L,0,5,0.2,0.0,1.4,-1.4,0.0,1.0,0.0,0.0,0.2
SC0,Aberdeen,2025-09-27,A,Motherwell,0,2,L,0,6,0.2,0.0,1.4,-1.4,0.0,1.0,0.0,0.0,0.2
SC0,Aberdeen,2025-10-05,H,Dundee,4,0,W,3,7,0.8,0.8,1.0,-0.2,0.2,0.8,0.0,0.2,0.4
SC0,Aberdeen,2025-10-18,A,St Mirren,1,0,W,3,8,1.4,1.0,0.8,0.2,0.2,0.8,0.0,0.4,0.6
SC0,Aberdeen,2025-10-26,H,Hibernian,1,2,L,0,9,1.2,1.2,1.2,0.0,0.4,0.6,0.2,0.6,0.4
SC0,Aberdeen,2025-10-29,A,Kilmarnock,1,0,W,3,10,1.8,1.4,0.8,0.6,0.4,0.6,0.2,0.8,0.6
SC0,Aberdeen,2025-11-09,H,Motherwell,1,1,D,1,11,2.0,1.6,0.6,1.0,0.4,0.6,0.4,1.0,0.6
SC0,Aberdeen,2025-11-23,H,Hearts,1,0,W,3,12,2.0,1.0,0.6,0.4,0.2,0.8,0.4,1.0,0.6
SC0,Aberdeen,2025-11-30,A,Livingston,1,0,W,3,13,2.0,1.0,0.6,0.4,0.2,0.8,0.4,1.0,0.6
SC0,Aberdeen,2025-12-03,H,St Mirren,3,3,D,1,14,2.2,1.4,0.8,0.6,0.2,0.8,0.4,1.0,0.6
SC0,Aberdeen,2025-12-06,A,Dundee,3,1,W,3,15,2.2,1.8,1.0,0.8,0.4,0.6,0.6,1.0,0.4
SC0,Aberdeen,2025-12-14,H,Kilmarnock,2,1,W,3,16,2.6,2.0,1.0,1.0,0.6,0.4,0.6,1.0,0.4
SC0,Aberdeen,2025-12-21,A,Celtic,1,3,L,0,17,2.0,2.0,1.6,0.4,0.8,0.2,0.8,1.0,0.2
