league,team,scope,market,jogos,n_eventos,hit_rate,hit_std,wilson_lo,wilson_hi,edge_vs_liga,roi_unid_por_aposta,odds_avg,prob_impl,value_estimado,form_recent_5,alerta_tendencia_inversa
SP1,Alaves,Fora,Vitória (1X2),15,15.0,0.2,0.4,0.07047420643610411,0.4518593533465045,-0.175,0.023999999999999962,5.1706666666666665,0.19339865910263024,0.03413333333333335,0.4,False
SP1,Alaves,Fora,Over 2.5 golos,15,15.0,0.4,0.4898979485566356,0.19824228082594664,0.6425355724349229,-0.10666666666666669,-0.1413333333333333,2.297333333333334,0.43528728961114327,-0.0810666666666664,0.6,False
SP1,Alaves,Fora,Under 2.5 golos,15,15.0,0.6,0.4898979485566356,0.357464427565077,0.8017577191740534,0.10666666666666663,-0.05733333333333331,1.6780000000000002,0.5959475566150179,0.006799999999999917,0.4,True
SP1,Alaves,Fora,Handicap Asiático (AH),15,,,,,,,-0.24599999999999997,1.8846666666666663,0.5305978068623984,,,False
SP1,Alaves,Fora,Casa marca (>=1),15,15.0,0.5333333333333333,0.49888765156985887,0.3011663015105079,0.7519077474025356,-0.22499999999999998,,,,,0.8,False
SP1,Alaves,Fora,Clean sheet,15,15.0,0.06666666666666667,0.24944382578492943,0.011866588606194882,0.2981707755242399,-0.175,,,,,0.0,False
SP1,Alaves,Fora,Ambas marcam (BTTS),15,15.0,0.4666666666666667,0.49888765156985887,0.24809225259746442,0.6988336984894922,-0.09333333333333338,,,,,0.8,False
SP1,Alaves,Fora,Over 1.5 golos,15,15.0,0.6,0.4898979485566356,0.357464427565077,0.8017577191740534,-0.18666666666666665,,,,,1.0,False
SP1,Alaves,Fora,Over 3.5 golos,15,15.0,0.26666666666666666,0.4422166387140533,0.10897276103182815,0.5195088965768675,0.006666666666666654,,,,,0.4,False
SP1,Alaves,Fora,Cantos total Over 8.5,15,15.0,0.6,0.4898979485566356,0.357464427565077,0.8017577191740534,0.0033333333333332993,,,,,0.4,True
SP1,Alaves,Fora,Cantos total Over 9.5,15,15.0,0.4,0.4898979485566356,0.19824228082594664,0.6425355724349229,-0.06999999999999995,,,,,0.4,False
SP1,Alaves,Fora,Cantos total Over 10.5,15,15.0,0.4,0.4898979485566356,0.19824228082594664,0.6425355724349229,0.010000000000000009,,,,,0.4,False
SP1,Alaves,Fora,Cantos equipa Over 4.5,15,15.0,0.4666666666666667,0.49888765156985887,0.24809225259746442,0.6988336984894922,-0.018333333333333313,,,,,0.2,True
