league,team,jogos,ppg,vit%,emp%,der%,golos_marcados,golos_sofridos,diff_golos,marca%,CS%,BTTS%,O2.5%,U2.5%,remates,remates_sofridos,SOT,SOT_sofridos,cantos,cantos_sofridos,amarelos,amarelos_sofridos,gf_sum,ga_sum,shots_sum,shots_against_sum,sot_sum,conversion_rate,sot_pct,xg_impl,xg_overperf,defensive_solidity,scope
SP1,Barcelona,30,2.533333333333333,0.8333333333333334,0.03333333333333333,0.13333333333333333,2.6666666666666665,0.9666666666666667,1.7,1.0,0.4,0.6,0.8,0.2,19.733333333333334,9.166666666666666,7.2,3.7,7.266666666666667,4.2,1.5,2.466666666666667,80,29,592,275,216,0.13513513513513514,0.36486486486486486,2.376,0.29066666666666663,0.10545454545454545,Total
SP1,Real Madrid,30,2.3,0.7333333333333333,0.1,0.16666666666666666,2.1333333333333333,0.9333333333333333,1.2,0.9,0.36666666666666664,0.5666666666666667,0.6333333333333333,0.36666666666666664,17.966666666666665,10.1,6.866666666666666,3.066666666666667,6.333333333333333,3.533333333333333,1.8,2.6333333333333333,64,28,539,303,206,0.11873840445269017,0.3821892393320965,2.266,-0.1326666666666667,0.0924092409240924,Total
SP1,Villarreal,30,1.9333333333333333,0.6,0.13333333333333333,0.26666666666666666,1.8,1.1666666666666667,0.6333333333333333,0.8333333333333334,0.26666666666666666,0.5666666666666667,0.5666666666666667,0.43333333333333335,12.166666666666666,12.533333333333333,4.5,3.566666666666667,3.933333333333333,4.566666666666666,2.1666666666666665,2.1,54,35,365,376,135,0.14794520547945206,0.3698630136986301,1.485,0.31499999999999995,0.09308510638297872,Total
SP1,Ath Madrid,30,1.9,0.5666666666666667,0.2,0.23333333333333334,1.6666666666666667,1.0,0.6666666666666666,0.8666666666666667,0.4,0.5,0.4666666666666667,0.5333333333333333,13.4,10.933333333333334,5.433333333333334,3.5,6.5,3.933333333333333,2.033333333333333,1.9666666666666666,50,30,402,328,163,0.12437810945273632,0.4054726368159204,1.793,-0.1263333333333332,0.09146341463414634,Total
SP1,Betis,30,1.5,0.36666666666666664,0.4,0.23333333333333334,1.4666666666666666,1.2333333333333334,0.23333333333333334,0.8666666666666667,0.3,0.6333333333333333,0.4666666666666667,0.5333333333333333,14.7,12.233333333333333,4.833333333333333,4.266666666666667,4.533333333333333,5.233333333333333,1.9333333333333333,2.533333333333333,44,37,441,367,145,0.09977324263038549,0.3287981859410431,1.595,-0.1283333333333334,0.1008174386920981,Total
SP1,Celta,30,1.4666666666666666,0.36666666666666664,0.36666666666666664,0.26666666666666666,1.4666666666666666,1.2333333333333334,0.23333333333333334,0.8666666666666667,0.26666666666666666,0.6666666666666666,0.43333333333333335,0.5666666666666667,10.8,12.066666666666666,4.166666666666667,4.1,4.0,4.6,1.9333333333333333,2.433333333333333,44,37,324,362,125,0.13580246913580246,0.38580246913580246,1.375,0.09166666666666656,0.10220994475138122,Total
SP1,Getafe,30,1.3666666666666667,0.4,0.16666666666666666,0.43333333333333335,0.9,1.0333333333333334,-0.13333333333333333,0.6,0.3,0.3333333333333333,0.3,0.7,9.533333333333333,10.8,3.0,4.066666666666666,4.466666666666667,4.866666666666666,2.8666666666666667,2.1333333333333333,27,31,286,324,90,0.0944055944055944,0.3146853146853147,0.9900000000000001,-0.09000000000000008,0.09567901234567901,Total
SP1,Sociedad,30,1.3666666666666667,0.36666666666666664,0.26666666666666666,0.36666666666666664,1.5333333333333334,1.5,0.03333333333333333,0.9,0.1,0.8,0.6,0.4,13.0,13.2,4.8,4.3,5.8,4.666666666666667,2.033333333333333,2.2333333333333334,46,45,390,396,144,0.11794871794871795,0.36923076923076925,1.584,-0.05066666666666664,0.11363636363636363,Total
SP1,Ath Bilbao,30,1.2666666666666666,0.36666666666666664,0.16666666666666666,0.4666666666666667,1.0666666666666667,1.4333333333333333,-0.36666666666666664,0.6333333333333333,0.16666666666666666,0.5,0.4666666666666667,0.5333333333333333,13.866666666666667,9.766666666666667,4.533333333333333,4.2,5.333333333333333,3.9,2.2666666666666666,2.0,32,43,416,293,136,0.07692307692307693,0.3269230769230769,1.496,-0.42933333333333334,0.14675767918088736,Total
SP1,Espanol,30,1.2666666666666666,0.3333333333333333,0.26666666666666666,0.4,1.2,1.4666666666666666,-0.26666666666666666,0.8,0.26666666666666666,0.6,0.5333333333333333,0.4666666666666667,12.8,13.166666666666666,4.166666666666667,4.933333333333334,4.666666666666667,4.466666666666667,2.2333333333333334,2.5,36,44,384,395,125,0.09375,0.3255208333333333,1.375,-0.17500000000000004,0.11139240506329114,Total
