league,team,scope,market,jogos,n_eventos,hit_rate,hit_std,wilson_lo,wilson_hi,edge_vs_liga,roi_unid_por_aposta,odds_avg,prob_impl,value_estimado,form_recent_5,alerta_tendencia_inversa
T1,Alanyaspor,Fora,Vitória (1X2),14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.2765714285714286,-0.7642857142857142,4.187857142857142,0.2387856046392632,-0.7008673469387756,0.0,False
T1,Alanyaspor,Fora,Over 2.5 golos,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.0,-0.10714285714285714,1.8142857142857147,0.5511811023622046,-0.09285714285714275,0.6,False
T1,Alanyaspor,Fora,Under 2.5 golos,14,14.0,0.5,0.5,0.2679886791947528,0.7320113208052473,0.0,-0.060714285714285686,1.962142857142857,0.5096468875136513,-0.018928571428571517,0.4,False
T1,Alanyaspor,Fora,Handicap Asiático (AH),14,,,,,,,0.18964285714285714,1.875714285714286,0.5331302361005331,,,False
T1,Alanyaspor,Fora,Casa marca (>=1),14,14.0,0.8571428571428571,0.34992710611188266,0.600580922361363,0.9599069262620787,0.13914285714285712,,,,,1.0,False
T1,Alanyaspor,Fora,Clean sheet,14,14.0,0.07142857142857142,0.2575393768188564,0.012721886112291648,0.3146926955395781,-0.21057142857142855,,,,,0.0,False
T1,Alanyaspor,Fora,Ambas marcam (BTTS),14,14.0,0.8571428571428571,0.34992710611188266,0.600580922361363,0.9599069262620787,0.31714285714285706,,,,,1.0,False
T1,Alanyaspor,Fora,Over 1.5 golos,14,14.0,0.9285714285714286,0.25753937681885636,0.6853073044604219,0.9872781138877085,0.1845714285714286,,,,,1.0,False
T1,Alanyaspor,Fora,Over 3.5 golos,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,0.08914285714285713,,,,,0.6,False
T1,Alanyaspor,Fora,Cantos total Over 8.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.2268571428571428,,,,,0.4,False
T1,Alanyaspor,Fora,Cantos total Over 9.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.13885714285714285,,,,,0.4,False
T1,Alanyaspor,Fora,Cantos total Over 10.5,14,14.0,0.35714285714285715,0.4791574237499549,0.16344490737202735,0.6123599531785959,-0.03885714285714287,,,,,0.4,False
