league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
T1,Alanyaspor,2025-08-16,H,Rizespor,0,0,D,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
T1,Alanyaspor,2025-08-25,A,Eyupspor,1,2,L,0,2,0.5,0.5,1.0,-0.5,0.5,0.5,0.5,0.5,0.5
T1,Alanyaspor,2025-08-31,H,Besiktas,2,0,W,3,3,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
T1,Alanyaspor,2025-09-13,A,Konyaspor,2,1,W,3,4,1.75,1.25,0.75,0.5,0.5,0.5,0.5,0.75,0.5
T1,Alanyaspor,2025-09-17,A,Fenerbahce,2,2,D,1,5,1.6,1.4,1.0,0.4,0.6,0.4,0.6,0.8,0.4
T1,Alanyaspor,2025-09-21,A,Buyuksehyr,1,1,D,1,6,1.6,1.6,1.2,0.4,0.6,0.4,0.8,1.0,0.2
T1,Alanyaspor,2025-09-26,H,Galatasaray,0,1,L,0,7,1.6,1.4,1.0,0.4,0.4,0.6,0.6,0.8,0.2
T1,Alanyaspor,2025-10-04,A,Genclerbirligi,2,2,D,1,8,1.2,1.4,1.4,0.0,0.6,0.4,0.8,0.8,0.0
T1,Alanyaspor,2025-10-19,H,Goztep,1,0,W,3,9,1.2,1.2,1.2,0.0,0.4,0.6,0.6,0.8,0.2
T1,Alanyaspor,2025-10-25,A,Kocaelispor,0,2,L,0,10,1.0,0.8,1.2,-0.4,0.2,0.8,0.4,0.6,0.2
T1,Alanyaspor,2025-11-03,H,Gaziantep,0,0,D,1,11,1.0,0.6,1.0,-0.4,0.2,0.8,0.2,0.4,0.4
T1,Alanyaspor,2025-11-08,A,Trabzonspor,1,1,D,1,12,1.2,0.8,1.0,-0.2,0.2,0.8,0.4,0.6,0.4
T1,Alanyaspor,2025-11-23,H,Kasimpasa,1,2,L,0,13,1.0,0.6,1.0,-0.4,0.2,0.8,0.4,0.6,0.4
T1,Alanyaspor,2025-12-01,A,Samsunspor,1,1,D,1,14,0.6,0.6,1.2,-0.6,0.2,0.8,0.6,0.6,0.2
T1,Alanyaspor,2025-12-08,H,Antalyaspor,0,0,D,1,15,0.8,0.6,0.8,-0.2,0.2,0.8,0.6,0.6,0.4
T1,Alanyaspor,2025-12-13,A,Kayserispor,0,0,D,1,16,0.8,0.6,0.8,-0.2,0.2,0.8,0.6,0.6,0.4
T1,Alanyaspor,2025-12-21,H,Karagumruk,2,0,W,3,17,1.2,0.8,0.6,0.2,0.2,0.8,0.4,0.6,0.6
T1,Alanyaspor,2026-01-18,H,Fenerbahce,2,3,L,0,18,1.2,1.0,0.8,0.2,0.2,0.8,0.4,0.6,0.6
T1,Alanyaspor,2026-01-25,A,Rizespor,1,1,D,1,19,1.2,1.0,0.8,0.2,0.2,0.8,0.4,0.6,0.6
T1,Alanyaspor,2026-01-31,H,Eyupspor,1,3,L,0,20,1.0,1.2,1.4,-0.2,0.4,0.6,0.6,0.8,0.4
T1,Alanyaspor,2026-02-08,A,Besiktas,2,2,D,1,21,1.0,1.6,1.8,-0.2,0.6,0.4,0.8,1.0,0.2
T1,Alanyaspor,2026-02-14,H,Konyaspor,2,1,W,3,22,1.0,1.6,2.0,-0.4,0.8,0.2,1.0,1.0,0.0
T1,Alanyaspor,2026-02-21,H,Buyuksehyr,1,2,L,0,23,1.0,1.4,1.8,-0.4,0.8,0.2,1.0,1.0,0.0
T1,Alanyaspor,2026-02-28,A,Galatasaray,1,3,L,0,24,0.8,1.4,2.2,-0.8,1.0,0.0,1.0,1.0,0.0
T1,Alanyaspor,2026-03-09,H,Genclerbirligi,0,0,D,1,25,1.0,1.2,1.6,-0.4,0.8,0.2,0.8,0.8,0.2
T1,Alanyaspor,2026-03-14,A,Goztep,2,2,D,1,26,1.0,1.2,1.6,-0.4,0.8,0.2,0.8,0.8,0.2
T1,Alanyaspor,2026-03-18,H,Kocaelispor,5,0,W,3,27,1.0,1.8,1.4,0.4,0.8,0.2,0.6,0.8,0.4
T1,Alanyaspor,2026-04-04,A,Gaziantep,1,1,D,1,28,1.2,1.8,1.2,0.6,0.6,0.4,0.6,0.8,0.4
T1,Antalyaspor,2025-08-09,H,Kasimpasa,2,1,W,3,1,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
T1,Antalyaspor,2025-08-17,A,Genclerbirligi,1,0,W,3,2,3.0,1.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5
T1,Antalyaspor,2025-08-24,A,Trabzonspor,0,1,L,0,3,2.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
T1,Antalyaspor,2025-08-30,H,Karagumruk,1,2,L,0,4,1.5,1.0,1.0,0.0,0.5,0.5,0.5,0.75,0.25
T1,Antalyaspor,2025-09-13,A,Samsunspor,2,1,W,3,5,1.8,1.2,1.0,0.2,0.6,0.4,0.6,0.8,0.2
T1,Antalyaspor,2025-09-20,H,Kayserispor,1,1,D,1,6,1.4,1.0,1.0,0.0,0.4,0.6,0.6,0.8,0.2
T1,Antalyaspor,2025-09-28,A,Fenerbahce,0,2,L,0,7,0.8,0.8,1.4,-0.6,0.4,0.6,0.6,0.6,0.0
T1,Antalyaspor,2025-10-03,H,Rizespor,2,5,L,0,8,0.8,1.2,2.2,-1.0,0.6,0.4,0.8,0.8,0.0
T1,Antalyaspor,2025-10-19,A,Gaziantep,2,3,L,0,9,0.8,1.4,2.4,-1.0,0.6,0.4,0.8,0.8,0.0
T1,Antalyaspor,2025-10-26,H,Buyuksehyr,0,4,L,0,10,0.2,1.0,3.0,-2.0,0.6,0.4,0.6,0.6,0.0
T1,Antalyaspor,2025-11-03,A,Eyupspor,1,0,W,3,11,0.6,1.0,2.8,-1.8,0.6,0.4,0.4,0.6,0.2
T1,Antalyaspor,2025-11-08,H,Besiktas,1,3,L,0,12,0.6,1.2,3.0,-1.8,0.8,0.2,0.6,0.8,0.2
T1,Antalyaspor,2025-11-24,A,Konyaspor,0,0,D,1,13,0.8,0.8,2.0,-1.2,0.6,0.4,0.4,0.6,0.4
T1,Antalyaspor,2025-11-30,H,Goztep,1,2,L,0,14,0.8,0.6,1.8,-1.2,0.6,0.4,0.4,0.6,0.4
T1,Antalyaspor,2025-12-08,A,Alanyaspor,0,0,D,1,15,1.0,0.6,1.0,-0.4,0.4,0.6,0.4,0.6,0.6
T1,Antalyaspor,2025-12-13,H,Galatasaray,1,4,L,0,16,0.4,0.6,1.8,-1.2,0.6,0.4,0.6,0.6,0.4
T1,Antalyaspor,2025-12-19,A,Kocaelispor,1,2,L,0,17,0.4,0.6,1.6,-1.0,0.6,0.4,0.6,0.6,0.4
T1,Antalyaspor,2026-01-18,A,Kasimpasa,0,0,D,1,18,0.4,0.6,1.6,-1.0,0.6,0.4,0.6,0.6,0.4
T1,Antalyaspor,2026-01-25,H,Genclerbirligi,2,1,W,3,19,1.0,0.8,1.4,-0.6,0.6,0.4,0.6,0.6,0.4
T1,Antalyaspor,2026-01-30,H,Trabzonspor,1,1,D,1,20,1.0,1.0,1.6,-0.6,0.6,0.4,0.8,0.8,0.2
T1,Antalyaspor,2026-02-07,A,Karagumruk,0,1,L,0,21,1.0,0.8,1.0,-0.2,0.4,0.6,0.6,0.6,0.2
T1,Antalyaspor,2026-02-13,H,Samsunspor,3,1,W,3,22,1.6,1.2,0.8,0.4,0.4,0.6,0.6,0.6,0.2
T1,Antalyaspor,2026-02-22,A,Kayserispor,0,1,L,0,23,1.4,1.2,1.0,0.2,0.4,0.6,0.6,0.6,0.0
T1,Antalyaspor,2026-03-01,H,Fenerbahce,2,2,D,1,24,1.0,1.2,1.2,0.0,0.4,0.6,0.6,0.6,0.0
T1,Antalyaspor,2026-03-08,A,Rizespor,0,1,L,0,25,0.8,1.0,1.2,-0.2,0.4,0.6,0.4,0.4,0.0
T1,Antalyaspor,2026-03-13,H,Gaziantep,1,4,L,0,26,0.8,1.2,1.8,-0.6,0.6,0.4,0.6,0.6,0.0
T1,Antalyaspor,2026-03-18,A,Buyuksehyr,0,0,D,1,27,0.4,0.6,1.6,-1.0,0.4,0.6,0.4,0.4,0.2
T1,Antalyaspor,2026-04-05,H,Eyupspor,3,0,W,3,28,1.0,1.2,1.4,-0.2,0.6,0.4,0.4,0.6,0.4
T1,Besiktas,2025-08-17,H,Eyupspor,2,1,W,3,1,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
T1,Besiktas,2025-08-31,A,Alanyaspor,0,2,L,0,2,1.5,1.0,1.5,-0.5,0.5,0.5,0.5,0.5,0.0
T1,Besiktas,2025-09-13,H,Buyuksehyr,2,1,W,3,3,2.0,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
T1,Besiktas,2025-09-19,A,Goztep,0,3,L,0,4,1.5,1.0,1.75,-0.75,0.75,0.25,0.5,0.5,0.0
T1,Besiktas,2025-09-24,A,Kayserispor,4,0,W,3,5,1.8,1.6,1.4,0.2,0.8,0.2,0.4,0.6,0.2
T1,Besiktas,2025-09-29,H,Kocaelispor,3,1,W,3,6,1.8,1.8,1.4,0.4,0.8,0.2,0.4,0.6,0.2
T1,Besiktas,2025-10-04,A,Galatasaray,1,1,D,1,7,2.0,2.0,1.2,0.8,0.8,0.2,0.6,0.8,0.2
