league,team,date,venue,opponent,gf,ga,result,points,jogo_n,roll5_points,roll5_gf,roll5_ga,roll5_goal_diff,roll5_over_2_5,roll5_under_2_5,roll5_btts,roll5_team_scored,roll5_clean_sheet
D1,Augsburg,2025-08-23,A,Freiburg,3,1,W,3,1,3.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
D1,Augsburg,2025-08-30,H,Bayern Munich,2,3,L,0,2,1.5,2.5,2.0,0.5,1.0,0.0,1.0,1.0,0.0
D1,Augsburg,2025-09-14,A,St Pauli,1,2,L,0,3,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
D1,Augsburg,2025-09-20,H,Mainz,1,4,L,0,4,0.75,1.75,2.5,-0.75,1.0,0.0,1.0,1.0,0.0
D1,Augsburg,2025-09-27,A,Heidenheim,1,2,L,0,5,0.6,1.6,2.4,-0.8,1.0,0.0,1.0,1.0,0.0
D1,Augsburg,2025-10-04,H,Wolfsburg,3,1,W,3,6,0.6,1.6,2.4,-0.8,1.0,0.0,1.0,1.0,0.0
D1,Augsburg,2025-10-18,A,FC Koln,1,1,D,1,7,0.8,1.4,2.0,-0.6,0.8,0.2,1.0,1.0,0.0
D1,Augsburg,2025-10-25,H,RB Leipzig,0,6,L,0,8,0.8,1.2,2.8,-1.6,0.8,0.2,0.8,0.8,0.0
D1,Augsburg,2025-10-31,H,Dortmund,0,1,L,0,9,0.8,1.0,2.2,-1.2,0.6,0.4,0.6,0.6,0.0
D1,Augsburg,2025-11-09,A,Stuttgart,2,3,L,0,10,0.8,1.2,2.4,-1.2,0.6,0.4,0.6,0.6,0.0
D1,Augsburg,2025-11-22,H,Hamburg,1,0,W,3,11,0.8,0.8,2.2,-1.4,0.4,0.6,0.4,0.6,0.2
D1,Augsburg,2025-11-29,A,Hoffenheim,0,3,L,0,12,0.6,0.6,2.6,-2.0,0.6,0.4,0.2,0.4,0.2
D1,Augsburg,2025-12-06,H,Leverkusen,2,0,W,3,13,1.2,1.0,1.4,-0.4,0.4,0.6,0.2,0.6,0.4
D1,Augsburg,2025-12-13,A,Ein Frankfurt,0,1,L,0,14,1.2,1.0,1.4,-0.4,0.4,0.6,0.2,0.6,0.4
D1,Augsburg,2025-12-20,H,Werder Bremen,0,0,D,1,15,1.4,0.6,0.8,-0.2,0.2,0.8,0.0,0.4,0.6
D1,Augsburg,2026-01-11,A,M'gladbach,0,4,L,0,16,0.8,0.4,1.6,-1.2,0.4,0.6,0.0,0.2,0.4
D1,Augsburg,2026-01-15,H,Union Berlin,1,1,D,1,17,1.0,0.6,1.2,-0.6,0.2,0.8,0.2,0.4,0.4
D1,Augsburg,2026-01-18,H,Freiburg,2,2,D,1,18,0.6,0.6,1.6,-1.0,0.4,0.6,0.4,0.4,0.2
D1,Augsburg,2026-01-24,A,Bayern Munich,2,1,W,3,19,1.2,1.0,1.6,-0.6,0.6,0.4,0.6,0.6,0.2
D1,Augsburg,2026-01-31,H,St Pauli,2,1,W,3,20,1.6,1.4,1.8,-0.4,0.8,0.2,0.8,0.8,0.0
D1,Augsburg,2026-02-07,A,Mainz,0,2,L,0,21,1.6,1.4,1.4,0.0,0.6,0.4,0.8,0.8,0.0
D1,Augsburg,2026-02-15,H,Heidenheim,1,0,W,3,22,2.0,1.4,1.2,0.2,0.6,0.4,0.6,0.8,0.2
D1,Augsburg,2026-02-21,A,Wolfsburg,3,2,W,3,23,2.4,1.6,1.2,0.4,0.6,0.4,0.6,0.8,0.2
D1,Augsburg,2026-02-27,H,FC Koln,2,0,W,3,24,2.4,1.6,1.0,0.6,0.4,0.6,0.4,0.8,0.4
D1,Augsburg,2026-03-07,A,RB Leipzig,1,2,L,0,25,1.8,1.4,1.2,0.2,0.4,0.6,0.4,0.8,0.4
D1,Augsburg,2026-03-14,A,Dortmund,0,2,L,0,26,1.8,1.4,1.2,0.2,0.4,0.6,0.4,0.8,0.4
D1,Augsburg,2026-03-22,H,Stuttgart,2,5,L,0,27,1.2,1.6,2.2,-0.6,0.6,0.4,0.6,0.8,0.2
D1,Augsburg,2026-04-04,A,Hamburg,1,1,D,1,28,0.8,1.2,2.0,-0.8,0.4,0.6,0.6,0.8,0.2
D1,Bayern Munich,2025-08-22,H,RB Leipzig,6,0,W,3,1,3.0,6.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0
D1,Bayern Munich,2025-08-30,A,Augsburg,3,2,W,3,2,3.0,4.5,1.0,3.5,1.0,0.0,0.5,1.0,0.5
D1,Bayern Munich,2025-09-13,H,Hamburg,5,0,W,3,3,3.0,4.666666666666667,0.6666666666666666,4.0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666
D1,Bayern Munich,2025-09-20,A,Hoffenheim,4,1,W,3,4,3.0,4.5,0.75,3.75,1.0,0.0,0.5,1.0,0.5
D1,Bayern Munich,2025-09-26,H,Werder Bremen,4,0,W,3,5,3.0,4.4,0.6,3.8,1.0,0.0,0.4,1.0,0.6
D1,Bayern Munich,2025-10-04,A,Ein Frankfurt,3,0,W,3,6,3.0,3.8,0.6,3.2,1.0,0.0,0.4,1.0,0.6
D1,Bayern Munich,2025-10-18,H,Dortmund,2,1,W,3,7,3.0,3.6,0.4,3.2,1.0,0.0,0.4,1.0,0.6
D1,Bayern Munich,2025-10-25,A,M'gladbach,3,0,W,3,8,3.0,3.2,0.4,2.8,1.0,0.0,0.4,1.0,0.6
D1,Bayern Munich,2025-11-01,H,Leverkusen,3,0,W,3,9,3.0,3.0,0.2,2.8,1.0,0.0,0.2,1.0,0.8
D1,Bayern Munich,2025-11-08,A,Union Berlin,2,2,D,1,10,2.6,2.6,0.6,2.0,1.0,0.0,0.4,1.0,0.6
D1,Bayern Munich,2025-11-22,H,Freiburg,6,2,W,3,11,2.6,3.2,1.0,2.2,1.0,0.0,0.6,1.0,0.4
D1,Bayern Munich,2025-11-29,H,St Pauli,3,1,W,3,12,2.6,3.4,1.0,2.4,1.0,0.0,0.6,1.0,0.4
D1,Bayern Munich,2025-12-06,A,Stuttgart,5,0,W,3,13,2.6,3.8,1.0,2.8,1.0,0.0,0.6,1.0,0.4
D1,Bayern Munich,2025-12-14,H,Mainz,2,2,D,1,14,2.2,3.6,1.4,2.2,1.0,0.0,0.8,1.0,0.2
D1,Bayern Munich,2025-12-21,A,Heidenheim,4,0,W,3,15,2.6,4.0,1.0,3.0,1.0,0.0,0.6,1.0,0.4
D1,Bayern Munich,2026-01-11,H,Wolfsburg,8,1,W,3,16,2.6,4.4,0.8,3.6,1.0,0.0,0.6,1.0,0.4
D1,Bayern Munich,2026-01-14,A,FC Koln,3,1,W,3,17,2.6,4.4,0.8,3.6,1.0,0.0,0.6,1.0,0.4
D1,Bayern Munich,2026-01-17,A,RB Leipzig,5,1,W,3,18,2.6,4.4,1.0,3.4,1.0,0.0,0.8,1.0,0.2
D1,Bayern Munich,2026-01-24,H,Augsburg,1,2,L,0,19,2.4,4.2,1.0,3.2,1.0,0.0,0.8,1.0,0.2
D1,Bayern Munich,2026-01-31,A,Hamburg,2,2,D,1,20,2.0,3.8,1.4,2.4,1.0,0.0,1.0,1.0,0.0
D1,Bayern Munich,2026-02-08,H,Hoffenheim,5,1,W,3,21,2.0,3.2,1.4,1.8,1.0,0.0,1.0,1.0,0.0
D1,Bayern Munich,2026-02-14,A,Werder Bremen,3,0,W,3,22,2.0,3.2,1.2,2.0,1.0,0.0,0.8,1.0,0.2
D1,Bayern Munich,2026-02-21,H,Ein Frankfurt,3,2,W,3,23,2.0,2.8,1.4,1.4,1.0,0.0,0.8,1.0,0.2
D1,Bayern Munich,2026-02-28,A,Dortmund,3,2,W,3,24,2.6,3.2,1.4,1.8,1.0,0.0,0.8,1.0,0.2
D1,Bayern Munich,2026-03-06,H,M'gladbach,4,1,W,3,25,3.0,3.6,1.2,2.4,1.0,0.0,0.8,1.0,0.2
D1,Bayern Munich,2026-03-14,A,Leverkusen,1,1,D,1,26,2.6,2.8,1.2,1.6,0.8,0.2,0.8,1.0,0.2
D1,Bayern Munich,2026-03-21,H,Union Berlin,4,0,W,3,27,2.6,3.0,1.2,1.8,0.8,0.2,0.8,1.0,0.2
D1,Bayern Munich,2026-04-04,A,Freiburg,3,2,W,3,28,2.6,3.0,1.2,1.8,0.8,0.2,0.8,1.0,0.2
D1,Dortmund,2025-08-23,A,St Pauli,3,3,D,1,1,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0
D1,Dortmund,2025-08-31,H,Union Berlin,3,0,W,3,2,2.0,3.0,1.5,1.5,1.0,0.0,0.5,1.0,0.5
D1,Dortmund,2025-09-13,A,Heidenheim,2,0,W,3,3,2.3333333333333335,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666
D1,Dortmund,2025-09-21,H,Wolfsburg,1,0,W,3,4,2.5,2.25,0.75,1.5,0.5,0.5,0.25,1.0,0.75
D1,Dortmund,2025-09-27,A,Mainz,2,0,W,3,5,2.6,2.2,0.6,1.6,0.4,0.6,0.2,1.0,0.8
D1,Dortmund,2025-10-04,H,RB Leipzig,1,1,D,1,6,2.6,1.8,0.2,1.6,0.2,0.8,0.2,1.0,0.8
D1,Dortmund,2025-10-18,A,Bayern Munich,1,2,L,0,7,2.0,1.4,0.6,0.8,0.2,0.8,0.4,1.0,0.6
